assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
3338689,12375,Loris tardigradus,Endangered,C2a(i),2008,2008-06-30 00:00:00 UTC,3.1,English,"Listed as Endangered because its population size is estimated to number fewer than 2,500 mature individuals, there is an observed continuing decline in the number of mature individuals, and no subpopulation contains more than 250 mature individuals.","<em>Loris tardigradus tardigradus</em> is found in wet lowland forests (Schulze and Meier 1995), tropical rain, swampy coastal and evergreen forests, and wet zone lowland forest up to 470 m (Molur <em>et al.</em> 2003). <em>Loris t. tardigradus</em> has only been observed to eat animal prey. Although they will eat fruit in a captive setting, they will always choose animal prey first. In addition to insects (including moths, stick insects, dragonflies, beetles, cockroaches, grasshoppers), they relish lizards and geckos. At Masmullah Proposed Forest Reserve, lorises were found in high abundance in areas characterised by <em>Humboldtia laurifolia</em>, a tree that has a mutualistic relationship with ants, providing abundant food for lorises. Lorises occurred at densities of 0.08-0.55 animals/ha across 15 separate sites. Loris abundance was positively associated with vines and branches providing continuous passage, branches of small size (&lt;5 cm) and trees providing a number of potential sleeping sites. Vicinity to human populations negatively impacts this species; it is not found in home gardens, and seems to require continuous canopy to move between forest patches.<br/><em>Loris t. nycticeboides</em> may possibly be more carnivorous than the lowland subspecies. As is this case with other primates at high altitudes, it also may occur at lower densities. The forest where it occurs has been classified as cloud forest, montane forest and evergreen forest at altitudes greater than 1,500 m (Schulze and Meier 1995), from 1,650 to 2,000 m (Molur <em>et al.</em> 2003). Of actual sightings, the highest was at 2,134 m and the lowest at 1,829 m altitude. Temperatures in its habitat have been recorded from 15.4°C (May/June) to -4°C (Dec/Jan) (Nekaris and Jayewardene 2003; Nekaris <em>et al</em>. 2005; Nekaris and Bearder 2006).","The threats imposed by humans on Sri Lankan <em>Loris</em> include habitat loss, road kill, and hunting for the pet trade, traditional “medicine,” and superstitious killing. Also, lorises have been electrocuted on un-insulated power lines. <em>Loris t. tardigradus</em> exists in few isolated forest patches that are also under severe encroachment by humans. Recent population studies estimate low numbers in forest patches and it is evident that both subspecies are in decline (Nekaris 2003, 2006).<br/><br/>Molur <em>et al</em>. (2003) list the following threats for <em>L. t. nycticeboides</em>: “land and water pollution, habitat loss due to agriculture, dairy husbandry, and vegetable cultivation, as well as local and commercial trade for eyes and meat by tea plantation workers, and possible village level trade for folk medicine”. While for <em>L. t. tardigradus</em> major threats are: “deforestation due to urbanization, and local, domestic, and commercial trade for meat” (Molur <em>et al.</em> 2003).","All populations are thought to be in decline. Population estimates suggest that there are approximately 1,500 animals of <em>L. t. tardigradus</em> in 3,000 ha of extremely fragmented forests, and about 80 animals in Horton Plains of <em>L. t. nycticeboides</em>. According to Molur <em>et al</em>. (2003) the total population of <em>L. t.</em> nycticeboides is unknown, yet this species has declined by greater than 80% in the last 200 years and is predicted to decline by &gt;20% in the next 10 years. <em>L. t. tardigradus</em> is predicted to decline by greater than 10% in the next 5 years (Molur <em>et al</em>. 2003). These declines are based on the 1:1 relationship between loss of critical habitat and population number. The country has lost 97% of its forest cover (Mill 1995; Myers <em>et al</em>. 2000), thus dramatically reducing the population.",Decreasing,"This species is endemic to central and south-western Sri Lanka, and is typically found in the southern “wet zone” of the island, up to the central “intermediate zone” (Nekaris and Jayewardene 2004).<br/><br/><em>L. t. tardigradus</em> <br/>Found in south-western Sri Lanka, from Colombo (although no known population still exists in this city) in the north to Ranna on the south coast. The subspecies has recently been recorded at several locations in Sri Lanka: Maimbulakanda Nature Reserve in Gampaha District, Western Province; Oliyagankele Forest Reserve, Masmullah, Kakanadura, Dandeniya Proposed Forest Reserve, Matara District; Kanneliya, Polgahaivalakande, and Kottawa Forest Reserves and Pitigala forest patches, Galle District, Southern Province; and in Godakawela, Ratnapura District, and Sinharaja World Heritage site.<br/><br/><em>Loris tardigradus nycticeboides </em><br/>Found in central Sri Lanka, where it is known from the Horton Plains, Nuwara Eliya District, Central Province. Extent of occurrence is less than 300 km<sup>2</sup>.",,Terrestrial,"This species is listed on CITES Appendix II, and is protected under the Fauna and Flora Protection Ordinance Act No. 2, 1937 and subsequent amendments including Act No. 49, 1993 at the species level (Molur <em>et al</em>. 2003).<br/><em>L. t. tardigradus</em> exists in Sinharaja World Heritage site and seven nature/forest preserves, as well as one proposed forest reserve, while at least one population of <em>L. t. nycticeboides</em> resides in Horton Plains National Park. Despite living in these areas, the survival of the species depends on reduction of habitat loss and the concurrent establishment of corridors between forest fragments. The eradication of local reliance on lorises for traditional “medicine” and use as superstitious scapegoats can only be achieved through education (Nekaris and Jayewardene 2004). Reliable population estimates and a monitoring program are needed for all Sri Lankan loris populations.<br/>Molur <em>et al</em>. (2003) list the following necessary research actions for this species: genetic and taxonomic, life history, population surveying, epidemiology, trade, population genetics, limiting factors, behavior and ecology.  Also listed are the following needed management actions: habitat management, wild population management, monitoring, public education, limiting factor management, work in local communities, and Population and Habitat Viability Assessment.",Indomalayan,,false,false,Global
3356200,12553,Macaca maura,Endangered,A2cd,2008,2008-06-30 00:00:00 UTC,3.1,English,"Listed as Endangered due to a decline of ≥ 50% of the population over the last three generations (30-36 years). The populations of this species are now extremely fragmented, and are increasingly restricted to karst areas which are under increasing threat due to cement mining.","In the north of its range this species is found in rainforest as well as deciduous forests and karst islands, while in the southern parts it tends to occur in mosaics of forest with some grasslands, probably due primarily to habitat availability. They occur below 2,000 m. It is diurnal and frugivorous, but will also consume leaves and arthropods. Females reach sexual maturity in 6-7 years, and inter-birth intervals averaged 32 months (Okamoto <em>et al.</em> 2000).","The major threat to moor macaques and other Sulawesi macaques seems to be habitat disturbance and fragmentation (Evans <em>et al.</em> 2001). The species is poisoned and trapped by local farmers where they are considered crop raiders. Increasing human settlement has marginalized the species to karst areas that cannot be developed. However, cement mining is destroying these areas and may be a serious threat to all species persisting in karst in the near future. These animals are frequently kept as pets by local people.","From 1983 to 1994 population estimates for moor macaque apparently went from 56,000 individuals to under 10,000 (Evans <em>et al</em>. 2001), but they may or may not still be in decline. However, the survey methods used in these two population estimates were different, and the level of decline over three generations is more likely to be between 50 and 80%, than greater than 80% (J. Burton pers. comm.). The well-studied population that lives in Karaenta Nature Reserve reached a density of 70 individuals/km<sup>2</sup> as of 1998 (Okamoto <em>et al</em>. 2000). In 1992, Supriatna <em>et al.</em> (1992) conducted an extensive survey and found only 3,000-5,000 individuals (2,500 mature) of the species. They estimated densities to be 25-50 individuals/km<sup>2</sup> (18.7SD).",Decreasing,"This species occurs only on the south-western peninsula (Selatan) of Sulawesi Island (Okamoto <em>et al.</em> 2000), south of the Tempe depression, in Indonesia.",,Terrestrial,"This species is listed on CITES Appendix II. It is known to occur in 4 protected areas (Bantimurung National Park, Bulu Saraung National Park, Hasanuddin National Park, Karaenta Nature Reserve); however, the total protected area in the extent of occurrence is only 87 km<sup>2</sup>. There is an urgent need to address the cement mining of karst areas as this and other species have been protected by the prior inaccessibility of these formations.",Australasian,,false,false,Global
3357272,12556,Macaca nigra,Critically Endangered,A2cd,2008,2008-06-30 00:00:00 UTC,3.1,English,"This species is considered Critically Endangered in light of a continuing decline, and that in the past 3 generations (approximately 40 years) the population has been reduced by more than 80% due to habitat loss and hunting pressure. The introduced population of over 100,000 individuals is not considered in this assessment as it is a pest and is itself a threat to Bacan Island (Molucca Islands).","This species is found in rainforests at moderate elevations. It is frugivorous, but will also eat immature leaves, arthropods, stalks of newly flowering plants, and cultivated crops (fruits, vegetables, and maize).","There is extensive habitat loss within its range. Hunting for bush meat is a major threat, so although the habitat appears to be intact in many places much of it is currently unoccupied. Some animals are also caught for the live animal trade. Extensive illegal ""small scale"" open area mining for gold, using mercury, within the parks is a regional threat. Shifting cultivation by local communities is an increasing threat. This is probably the most threatened primate species on Sulawesi (J. Burton pers. comm.).","Density is estimated to be approximately 3 individuals/km<sup>2</sup>, except in Tangkoko Batuangus where it is approximately 60 individuals/km<sup>2</sup> (J. Supriatna pers. comm.). The introduced population on the island of Pulau Bacan in the Moluccas probably numbers at least 100,000 individuals (Rosenbaum <em>et al.</em> 1998), but is not considered in this assessment.",Decreasing,"This species occurs on northeastern Sulawesi, Indonesia and the adjacent islands of Pulau Manadotua and Pulau Talise. It was historically found on Pulau Lembeh as well but has probably been extirpated from there. On Sulawesi it is found on the northern arm east of the Onggak Dumoga River and Mount Padang to the tip of the peninsula (Groves 2001). There is a sizeable introduced population on Pulau Bacan in the Maluku Islands (Indonesia).",,Terrestrial,"This species is listed under CITES Appendix II. It occurs in several protected areas (Gunung Lokon, Gunung Amban,Tangkoko Batuangus, Dua Saudara, and Batu Putih). However, there is urgent action needed to stop the encroachment into protected areas especially Tangkoko, which represents the most likely viable natural remaining population of the species to survive. <em>M. nigra</em> is relatively common in captivity.",Australasian,,false,false,Global
3359793,12563,Macaca tonkeana,Vulnerable,A2cd+3cd+4cd,2008,2008-06-30 00:00:00 UTC,3.1,English,"This species is considered Vulnerable due to an continued decline estimated to be more than 30% over three generations (approximately 40 years) in the past and future, due to a projected increase in oil palm, cacao and human settlement.","This species is found in rainforests at moderate elevations from sea level up to 2,000 m. It is frugivorous, but will eat immature leaves, arthropods, stalks of newly flowering plants, and cultivated crops (fruits, vegetables, and maize).","The species is often poisoned and trapped as an agricultural pest. Other threats include hunting for food, collection for use as pets and habitat conversion, especially due to oil palm and cacao plantations, and human settlements, all of with are projected increase in the coming decade.",This species is common in appropriate habitat. Densities are estimated at 3-5 individuals/km<sup>2</sup> (WCS unpubl. data).,Decreasing,"This species occurs on Sulawesi and the Togian Islands, Indonesia. It is found in the central part of Sulawesi south to Latimojong, southwest to the base of the Toraja highlands (where it interbreeds with <em>M. maura</em>), southeast to the lakes region of the southeastern peninsula, and northwest to the isthmus between Palu and Parigi (where it interbreeds with <em>M. heck</em>i) (Groves 2001).",,Terrestrial,"This species is listed on CITES Appendix II. It exists in a number of protected areas, including: Lore Lindu National Park (2,290 km<sup>2</sup>); Morowali Nature Reserve (2,250 km<sup>2</sup>); Peg. Faruhumpenai (900 km<sup>2</sup>); Towuti Nature Recreation Park (687 km<sup>2</sup>); and Danau Matano Nature Recreation Park (331 km<sup>2</sup>).",Australasian,,false,false,Global
4128407,135429,Saguinus melanoleucus,Least Concern,,2008,2008-06-30 00:00:00 UTC,3.1,English,"Listed as Least Concern as the species is widespread, common, and there are no major threats resulting in any significant population decline.","<em>Saguinus melanoleucus</em> occurs in Amazonian lowland, seasonally flooded forest, remnant forests or fringe patches and secondary forest (Snowdon and Soini 1988).<br/><br/>Marmosets and tamarins are distinguished from the other monkeys of the New World by their small size, modified claws rather than nails on all digits except the big toe, the presence of two as opposed to three molar teeth in either side of each jaw, and by the occurrence of twin births. They eat fruits, flowers, nectar, plant exudates (gums, saps, latex) and animal prey (including frogs, snails, lizards, spiders and insects). Marmosets have morphological and behavioural adaptations for gouging trees trunks, branches and vines of certain species to stimulate the flow of gum, which they eat, and in some species form a notable component of the diet. The dentition of the tamarins (<em>Saguinus</em> and <em>Leontopithecus</em>) does not provide for gouging and they eat gums only when readily available. <br/><br/>Tamarins live in extended family groups of between four and 15 individuals, but usually 2-8.<br/><br/>Saddleback tamarins travel and spend most of their time in the lower layers and understorey of the forest up to 10 m above the ground (Snowdon and Soini 1988). They tend to form mixed-species groups with the larger, sympatric moustached tamarins, including <em>Saguinus mystax</em>, <em>Saguinus labiatus</em>, and <em>Saguinus imperator</em> (see Yoneda 1981; Buchanan-Smith 1990; Peres 1992a,b, 1993c; Hardie 1998; Heymann and Buchanan-Smith 2000). The moustached tamarins trravel higher on the forest, spending more time in the lower and middle canopy, above 10 m.<br/><br/>Size:<br/>Tamarins are monomorphic - exhibiting only minor differences in body and canine size.<br/>Adult H&B 25.0 cm, TL 38.0 cm (Hershkovitz 1977).","At present, there is no evidence of any major threats to the species. However, although it occurs in a remote region of the Brazilian Amazon, its small distribution and the rapidly expanding development of the state of Acre would indicate that it may be vulnerable. Probably not hunted, possibly some use as pets.","Peres (1997) estimated population densities for <em>Saguinus m. melanoleucus</em> at three terra firma forest sites on the upper Rio Juruá: Porongaba, 65.1 individuals/km²; Kaxinawá Reserve, 36.7 individuals/km²; and Penedo, 67.6 individuals/km².",Decreasing,"There are two recognized subspecies:<br/><br/><em>Saguinus fuscicollis melanoleucus</em> occurs along the east (right bank) of the upper Rio Juruá, south from the mouth of the Rio Eirú (Hershkovitz 1977). With <em>S. f. acrensis</em> now recognized to be a hybrid form of <em>S. f. melanoleucus</em> x <em>S. f. fuscicollis</em> at the headwaters of the Rio Juruá (Peres 1993), the range of <em>S. f. melanoleucus</em> now includes that of <em>acrensis</em>, along the right bank of the upper Juruá up to its headwaters, as described by Hershkovitz (1977). No records are available for the Rio Tarauacá, but according to Hershkovitz (1977) specimens collected by A. M. Olalla from Santa Cruz, Rio Eiru, in 1936, were from the right bank of the river, indicating that the distribution extends at least to the left bank of the Rio Tarauacá. No saddleback tamarins have to date been recorded to the east of the Rio Tarauacá in the state of Acre as far as the upper Rio Purus. Mena <em>et al</em>. (2007) provided the first record of <em>S. f. melanoleucus</em> for Peru (headwaters of the Río Breu (right bank affluent of upper Juruá). However, the specimen actually looks like one of the hybrids (<em>fuscicollis</em> × <em>melanoleucus</em>) that were discussed by Peres <em>et al.</em> (1996).<br/><br/>The origin and distribution of the subspecies <em>Saguinus fuscicollis crandalli</em> is not known. Hershkovitz (1977, p.636) proposed that it may occur between the Rios Purus and Madeira, south of the Rio Amazonas/Solimões. The affinity of this tamarin to <em>S. f. melanoleucus</em> and particularly the form described as <em>S. f. acrensis</em> by Hershkovitz (1977) (here regarded as a hybrid form of <em>S. f. fuscicollis</em> and <em>S. f. melanoleucus</em>, see Peres 1993, Peres <em>et al.</em> 1996) in terms of its pelage colour and pattern is the only indication of its distribution, and on this basis, Hershkovitz (1977, p.622) subsequently suggested a more likely locality: the headwaters of the Rio Purus in southern Peru.",,Terrestrial,This species is not recorded from any protected areas. It is listed on Appendix II of CITES.,Neotropical,,false,false,Global
4270667,136294,Mico melanurus,Least Concern,,2008,2008-06-30 00:00:00 UTC,3.1,English,"Listed as Least Concern as this species is wide-ranging and adaptable, and there are no major threats resulting in a significant population decline.","<em>Mico melanurus</em> is known from the Amazon lowland rain forest of the state of Mato Grosso, extending south form the south and east of Serra dos Pacáas Novos into Bolivia and Paraguay. Stallings and Mittermeier (1983) and Stallings (1985) found <em>M. melanurus</em> in the northeastern Chaco. The habitats there are diverse and annual precipitation is high. There it occurs in tall forest along the ephemeral waterways or <em>cauces</em> (Stallings 1985).  Recorded during surveys in the mountainous region of Huanchaca, eastern Bolivia, by Braza and García (1987). In Bolivia, it occurs in primary and secondary growth forest, dry, deciduous forests, gallery forest and forest patches in savannas (Tarifa,1996).<br/><br/>Marmosets and tamarins are distinguished from the other monkeys of the New World by their small size, modified claws rather than nails on all digits except the big toe, the presence of two as opposed to three molar teeth in either side of each jaw, and by the occurrence of twin births. They eat fruits, flowers, nectar, plant exudates (gums, saps, latex) and animal prey (including frogs, snails, lizards, spiders and insects). Marmosets have morphological and behavioural adaptations for gouging trees trunks, branches and vines of certain species to stimulate the flow of gum, which they eat, and in some species form a notable component of the diet (Coimbra-Filho and Mittermeier 1976; Rylands 1984). They live in extended family groups of between four and 15 individuals. Two groups seen by Braza and García (1987) were of 7 and 12 individuals. Stallings (1985) recorded mean group sizes of 4.6 (Agua Dulce) and 7.8 individuals (Chovoreca) in Paraguay. Generally only one female per group breeds during a particular breeding season. The groups defend home ranges 10-40 ha, the size depending on availability and distribution of foods and second-growth patches. <br/><br/>Size:<br/>Mean H&B 22.6, T 33.0 (N=30) (Ferrari 2008).","A wide ranging species with no obvious major threats at present. Generally not hunted, though there is some use as pets.","In the north-eastern Paragyana Chaco, Stallings (1985) recorded densities of 1.6 groups/km² (Agua Dulce) and 3.52 groups/km² (Chovoreca) , with mean group sizes of 4.6 and 7.8 individuals, respectively.",Unknown,"The most widespread of the ""<em>argentata</em>"" group marmosets, <em>M. melanurus</em> is the only one to occur naturally outside of Brazil, extending south through the Pantanal of Mato Grosso into Bolivia and Paraguay. Hershkovitz (1977) indicated the Rio Tacuarí in Brazil and the headwaters of the Río Mamoré in Bolivia as the southern limit of its distribution, but Stallings and Mittermeier (1983) and Stallings (1985) recorded it also from the north-eastern Paraguayan chaco, extending the known range to approximately 20ºS. In Bolivia, it occurs east of the Río Mamoré, in the Departments of Beni and Santa Cruz (Brown and Rumiz 1986; Anderson 1997).<br/><br/>According to Hershkovitz (1977), in Brazil it occurs to the east of the Rio Madeira, from the mouth of the Rio Aripuanã extending south to beyond the Rio Guaporé and west to the Rio Roosevelt. However, field research and the discovery of a number of distinct new marmosets has modified the range he proposed. In the state of Rondônia evidence has not been forthcoming for its occurrence between the Rios Aripuanã and Roosevelt (the range of <em>M. intermedius</em>). It does occur on the east bank of the Rio Aripuaná, north at least to 10ºS, and probably west to the Rio Juruena, or the Rio Teles Pires, where Ávila-Pires (1986) predicted that it would meet the range of the form <em>M. emiliae</em>. Hershkovitz’s (1977) proposal for its occurrence west of the Rio Aripuanã-Roosevelt was based on three localities. The first was the Foz do Rio Castanho (near the junction of the Rios Roosevelt, Guariba, and Aripuanã in the state of Amazonas) (locality 197b, p.569, Hershkovitz 1977). This is the type locality of the distinct form <em>M. marcai</em> described by Alperin (1993). According to Vivo (1985), the marmosets at the other two localities indicated by Hershkovitz (1977: 214b, mouth of the Rio Jiparaná, upper Rio Madeira; and 214c, Urupá, Rio Jiparaná) would not be the form <em>melanura</em>, but <em>Callithrix emiliae</em> according to their similarity (although darker) to the marmosets from the Rio Curuá, in Pará (the type locality of <em>M. emiliae</em> [Thomas, 1920]). However, the “Callithrix emiliae” of Vivo (1985) occurs to the west of the range of <em>M. melanurus</em> and, if aligned with the <em>Callithrix emiliae</em> of Thomas (1920), listed by Cruz Lima (1945), Cabrera (1957) and Ávila-Pires (1986), would indicate a disjunct distribution, being separated by typical <em>M. melanurus</em> between the Rios Aripuanã and Juruena (or Teles Pires). The Rondônia marmoset of Vivo (1985, 1991) is distinct from <em>melanurus</em> in its paler colour (less brownish dorsum) and the lack of the distinct pale thigh stripe.",,Terrestrial,"Protected by Decreto de Veda General Indefinida (D.S. 22641, 1990) in Bolivia (Tarifa 1996).<br/><br/>This species occurs, or may occur, in several protected areas, including:<br/><br/>Bolivia<br/>Amboró National Park (?) (98,640 ha) (637,600 ha - WCMC DB)<br/>Noel Kempff Mercado National Park (927,000 ha) (WCMC DB)<br/>Noel Kempff Mercado National Reserve (21,900 ha) (WCMC DB)<br/><br/>Brazil<br/>Pantanal Matogrossense National Park (135,000 ha)<br/>Chapada dos Guimarães National Park (33,000 ha)<br/>Taiamá Ecological Station  (14,325 ha)<br/>Serra das Araras Ecological Station (28,700 ha)<br/>Iquê Ecological Station (?) (200,000 ha)<br/><br/>Paraguay<br/>Defensores del Chaco National Park (780,000 ha) (Stallings 1985, 1989)<br/><br/>It is listed on Appendix II of CITES (as <span style=""font-style: italic;"">Callithrix melanura</span>).",Neotropical,,false,false,Global
4273932,136319,Tarsius lariang,Data Deficient,,2008,2008-06-30 00:00:00 UTC,3.1,English,"Listed as Data Deficient as this is a newly described species, thus there is not sufficient information to assess it at this time. There do seem to be some threats operating, even though a portion of its extent of occurrence is within a protected area. Further information is needed on distribution and ecology prior to further assessment.","This is a newly described species and was separated from <em>T. tarsier</em>, thus information has been extrapolated from prior knowledge of both it and <em>T. dentatus.</em>. Based on these assumptions, it should occur in primary, secondary and mangrove forests, forests gardens, and a variety of other habitats of varying degrees of human disturbance that provide adequate shrubby cover (M. Shekelle pers. comm.).<br/><br/>Tarsiers show extreme adaptations for vertical clinging and leaping (VCL) in the understory of suitable tropical habitats, often 2 meters or less from the ground. Nocturnal, social primates, they likely live in small, monogamous or polygamous groupings of 2-7. Their diet is 100% live animal prey, mostly insects with some small vertebrates (M. Shekelle pers. comm.).","Although this is a newly described taxon, by analogy with other taxa major threats can be extrapolated to be habitat loss and illegal logging, with lesser threats including agricultural pesticides, and predation by domestic animals (dogs and cats). In addition, some animals may be entering the pet trade. There has been extensive loss of habitat; however, the species has some tolerance to forest conversion. A crucial unknown variable in determining how critical the threats to this species are is its elevational distribution. GIS data indicate that large areas of quality forested habitat remain at higher elevations, but the vertical range of this species is believed to stop somewhere between 1,100-1,500 m, thus rendering a large portion of the best remaining habitat outside the range of this species.",Very little is known of the population of this species. Preliminary studies suggest that its population densities and home range sizes are similar to those of <em>Tarsius dentatus</em> (S. Merker unpubl. data).,Decreasing,"This species is found in western central Sulawesi (Indonesia) in the Lariang River basin near the confluence with its tributary, the Meweh River, and extends as far north as Gimpu. The precise limits of its distribution have yet to be precisely determined, though the eastern boundary is known to be parapatric with that of <em>T. dentatus.</em>  Its distribution is likely to be much larger than what is confirmed at present.",,Terrestrial,"Tarsiers are protected by national law and international treaties, including CITES Appendix II. Many portions of the range of this taxon are protected and indeed it occurs in at least one national park (Lore Lindu); however, there needs to be improved management of the currently protected areas to ensure the ongoing survival of the species. Public education to overcome the misconception that tarsiers are crop pests would be a step forward in improving conservation measures for the species. In fact the species might actually be beneficial to crops, as they eat, and may even have a dietary preference for, some of the real crop pests such as large grasshoppers.",Australasian,,false,false,Global
4380191,13992,Muscardinus avellanarius,Least Concern,,2010,2008-01-01 00:00:00 UTC,3.1,English,Least Concern. This is a relatively common and widespread species across its Mediterranean range.,"It inhabits deciduous woodland, favouring forest edge, secondary growth, coppices, and other wooded areas with a dense shrubby understorey. It is also found in hedgerows in farmland. It is an arboreal feeder, foraging on flowers, insects and fruit.","In north-western parts of the species' range, habitat fragmentation as a result of forestry, urbanisation and agriculture is a major threat. It was formerly a popular pet in some parts of its range, but this is now illegal in many countries (Morris 1999).","Population trends vary in different parts of the range: in some areas it is declining, in others it is considered stable. In parts of its northern range (e.g., UK, Netherlands, Sweden, Germany, Denmark) populations are declining and fragmented as a result of habitat loss and fragmentation. However, in Lithuania it is a common and widespread species, and no decline has been observed (Juškaitis 2003). Population densities may reach c.10 individuals per hectare in optimal habitat, but densities are significantly lower in less favourable habitats (Morris 1999).",Unknown,"The common dormouse occurs in Europe and northern Asia Minor (Turkey). In continental Europe, it is fairly widespread, although it is absent from Iberia, south-west France, and northern parts of Fennoscandia and Russia. It is also absent from eastern Ukraine and southern Russia. Island populations occur in southern Britain and on Corfu and Sicily (Morris 1999, Rossolimo <em>et al.</em> (2001). In the Alps it occurs up to 1,920 m (Spitzenberger 2002).",,Terrestrial,It is listed on Appendix III of the Bern Convention and Annex IV of the EU Habitats and Species Directive. In many countries this species is included on national Red Lists.,Palearctic,,false,false,Mediterranean
4380454,13992,Muscardinus avellanarius,Least Concern,,2007,2006-05-19 00:00:00 UTC,3.1,English,"European regional assessment: Least Concern (LC)<br/>EU 25 regional assessment: Least Concern (LC)<br/><br/>This is a relatively common and widespread species across its range. However, in parts of its northern range (e.g. UK, Netherlands, Sweden, Germany, Denmark) populations are declining and fragmented as a result of habitat loss and fragmentation. In these areas there is cause for concern.","It inhabits deciduous woodland, favouring forest edge, secondary growth, coppices, and other wooded areas with a dense shrubby understorey. It is also found in hedgerows in farmland. It is an arboreal feeder, foraging on flowers, insects and fruit.","In north-western parts of the species' range, habitat fragmentation as a result of forestry, urbanisation and agriculture is a major threat. It was formerly a popular pet in some parts of its range, but this is now illegal in many countries (Morris 1999).","Population trends vary in different parts of the range: in some areas it is declining, in others it is considered stable. In parts of its northern range (e.g., UK, Netherlands, Sweden, Germany, Denmark) populations are declining and fragmented as a result of habitat loss and fragmentation. However in Lithuania it is a common and widespread species, and no decline has been observed (Juškaitis 2003). Population densities may reach c.10 individuals per hectare in optimal habitat, but densities are significantly lower in less favourable habitats (Morris 1999).",Unknown,"The common dormouse occurs in Europe and northern Asia Minor (Turkey). In continental Europe, it is fairly widespread, although it is absent from Iberia, south-west France, and northern parts of Fennoscandia and Russia. It is also absent from eastern Ukraine and southern Russia. Island populations occur in southern Britain and on Corfu and Sicily (Morris 1999, Rossolimo <em>et al.</em> (2001). In the Alps it occurs up to 1,920 m (Spitzenberger 2002).",,Terrestrial,It is listed on Appendix III of the Bern Convention and Annex IV of the EU Habitats and Species Directive. In many countries this species is included on national Red Lists.,Palearctic,,false,false,Europe
4824431,15569,Oryx leucoryx,Endangered,D,2010,2008-01-01 00:00:00 UTC,3.1,English,Wild populations in the Mediterranean region are restricted to Israel and number fewer than 250 mature individuals. Numbers in Israel are increasing.,Inhabits sandy and stony deserts.,"The Oman population has been devastated by illegal live capture for sale to private collections and has been rendered totally ineffective. The security of animals that wander outside the other protected areas where they have been released cannot be guaranteed, except perhaps in Israel. Drought and overgrazing have reduced habitat quality in places and limited the choice of potential release further release sites.","Current total population is estimated at approximately 1100: Oman (approximately 50); Saudi Arabia (approximately 950; 800 in Mahazat as Sayd and 160 in Uruq Bani Ma’arid); and Israel (90-100). The population in Oman reached a high point of 450 before illegal live capture began and severely reduced numbers. Now only males remain. In Saudi Arabia, numbers are roughly stable in Uruq Bani Ma’arid, but declining in Mahazat As Sayd, which is completely fenced and where animals have exceeded carrying capacity. There has been a slow, but steady increase in the Israeli population. About 100 animals have been released at Umm Al Zumul, UAE, since 2007.<br/><br/>An estimated 6000-7000 animals are held in captivity worldwide, mostly within the region. Some of these are maintained in large fenced enclosures, including those in Syria (Al Talila), Bahrain, Qatar, and UAE.<br/><br/>Current population trend is stable/decreasing.",Decreasing,"Formerly occurred through most of the Arabian Peninsula, north to Kuwait and Iraq. Arabian Oryx range had already contracted by the early years of the 20th century and the decline accelerated thereafter. Before 1920, oryx distribution was separated into areas over 1,000 km apart: a northern population, and a larger southern population in and around the Rub Al Khali and the plains of central-southern Oman. Oryx disappeared from the north in the 1950s. In the south, their range steadily decreased due to hunting and by the 1960s oryx were restricted to parts of central and southern Oman. The last wild individuals were probably shot in 1972 on the Jiddat al Harasis.<br/><br/>Currently, there are reintroduced populations in Oman (Arabian Oryx Sanctuary), Saudi Arabia (Mahazat as-Sayd Reserve, 2,900 km² and Uruq Bani Ma’arid Reserve, 5,500 km²); and Israel (three locations in Northern Arava and Negev Desert). A release programme in Abu Dhabi, UAE, began in 2007.",,Terrestrial,"Protective legislation in Saudi Arabia, Oman and Israel is adequate. Occur in protected areas, as above. Sites in Israel and Bahrain are also protected. Captive population is well-managed, with an international studbook. In addition, large numbers are kept in private collections, especially in UAE and Saudi Arabia. The government of UAE is funding a reintroduction into Jordan and is considering releases in Yemen. A regional Arabian Oryx conservation strategy was developed in 2007. The Coordinating Committee for the Conservation of the Arabian Oryx is an inter-governmental body charged with coordination of conservation efforts within the Arabian Peninsula.",Palearctic,,false,false,Mediterranean
