species,median_lat
Abditomys latidens,16.85
Abrawayaomys ruschii,-24.482281999999998
Abrocoma boliviensis,-17.9
Abrocoma cinerea,-22.11667
Abrocoma famatina,-28.731926
Abrothrix hershkovitzi,-54.112778
Abrothrix illuteus,-26.799999
Abrothrix lanosus,-53.150001
Abrothrix manni,-41.066666
Abrothrix markhami,-49.13
Abrothrix sanborni,-43.116665
Acerodon celebensis,-1.133333
Acerodon humilis,4.01
Acerodon jubatus,9.4166
Acerodon leucotis,9.73
Acerodon mackloti,-8.066667
Acinonyx jubatus,-24.59102
Acomys airensis,19.4
Acomys cahirinus,28.516666
Acomys cineraceus,10.87
Acomys dimidiatus,31.63
Acomys ignitus,-3.633333
Acomys johannis,11.3414545
Acomys kempi,0.441816
Acomys louisae,31.848948
Acomys minous,35.353410499999995
Acomys mullah,7.833334
Acomys nesiotes,34.860556
Acomys percivali,0.6667
Acomys selousi,-15.695388
Acomys spinosissimus,-15.831196
Acomys subspinosus,-32.13
Acomys whitei,16.7
Acomys wilsoni,-3.516667
Aconaemys fuscus,-40.294145
Aconaemys porteri,-40.82
Aconaemys sagei,-38.016666
Acrobates pygmaeus,-33.348
Addax nasomaculatus,29.868026
Aegialomys galapagoensis,-0.816667
Aegialomys xanthaeolus,-6.833333
Aegyptopithecus zeuxis,29.450001
Aelurocyon spissidens,29.86
Aelurodon asthenostylus,34.799999
Aelurodon brachygnathus,42.400002
Aelurodon compressus,42.700001
Aelurodon ferox,42.700001
Aelurodon mcgrewi,42.799999
Aelurodon taxoides,42.700001
Aeolopithecus chirobates,29.450001
Aepeomys lugens,8.62
Aepyprymnus rufescens,-28.7167
Aeretes melanopterus,26.430681999999997
Aeromys tephromelas,3.505
Aeromys thomasi,5.343469
Aethalops aequalis,4.038422
Aethalops alecto,2.85
Aethomys bocagei,-9.875
Aethomys chrysophilus,-22.4167
Aethomys hindei,3.1333
Aethomys ineptus,-23.980216499999997
Aethomys kaiseri,-1.5667
Aethomys nyikae,-10.72
Aethomys silindensis,-19.23
Aethomys stannarius,8.8166835
Aethomys thomasi,-11.875
Aetiocetus cotylalveus,45.007084
Aetiocetus polydentatus,43.296665
Aetiocetus weltoni,44.5
Aglaocetus patulus,38.334583
Ailurops ursinus,1.40516
Akodon aerosus,-13.100533
Akodon albiventer,-18.666666
Akodon arviculoides,-23.551621
Akodon boliviensis,-16.083334
Akodon budini,-24.075001999999998
Akodon caenosus,-26.2762
Akodon cursor,-24.333333
Akodon dayi,-16.799999
Akodon dolores,-29.406262
Akodon fumeus,-17.133333
Akodon juninensis,-11.559114999999998
Akodon kofordi,-14.133333
Akodon lindberghi,-15.783334
Akodon mimus,-17.133333
Akodon molinae,-34.05
Akodon montensis,-26.2894
Akodon neocenus,-38.0307
Akodon orophilus,-6.7166665000000005
Akodon paranaensis,-26.2812
Akodon pervalens,-22.243108
Akodon sanctipaulensis,-24.366667
Akodon serrensis,-22.8479945
Akodon siberiae,-17.516667
Akodon simulator,-26.463056
Akodon surdus,-12.62708
Akodon sylvanus,-24.283306
Akodon toba,-22.35
Akodon torques,-13.16219
Akodon varius,-23.2
Akodon viridescens,-32.937034
Alcelaphus caama,-19.1899575
Alcelaphus kattwinkeli,-2.983
Alces americanus,59.450001
Aletocyon multicuspus,43
Alionycteris paucidentata,8.1583
Allactaga balikunica,43.25015
Allactaga bullata,43.62437
Allactaga euphratica,36.683333
Allactaga hotsoni,31.4235
Allactaga major,46.98333
