"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"1","Abditomys latidens","Muridae",269,1
"2","Abeomelomys sevia","Muridae",54.88,1
"3","Abrawayaomys ruschii","Cricetidae",63,1
"4","Abrocoma bennettii","Abrocomidae",250.5,1
"5","Abrocoma boliviensis","Abrocomidae",158,1
"6","Abrocoma budini","Abrocomidae",214.69,0
"7","Abrocoma cinerea","Abrocomidae",250,1
"8","Abrocoma famatina","Abrocomidae",214.69,0
"9","Abrocoma shistacea","Abrocomidae",214.69,0
"10","Abrocoma uspallata","Abrocomidae",214.69,0
"11","Abrocoma vaccarum","Abrocomidae",214.69,0
"12","Abrothrix andinus","Cricetidae",24.91,1
"13","Abrothrix hershkovitzi","Cricetidae",32.42,2
"14","Abrothrix illuteus","Cricetidae",47.79,1
"15","Abrothrix jelskii","Cricetidae",34.5,1
"16","Abrothrix lanosus","Cricetidae",27.83,1
"17","Abrothrix longipilis","Cricetidae",38.86,1
"18","Abrothrix markhami","Cricetidae",29.03,2
"19","Abrothrix olivaceus","Cricetidae",24.52,1
"20","Abrothrix sanborni","Cricetidae",24.7,1
"21","Acerodon celebensis","Pteropodidae",390,1
"22","Acerodon humilis","Pteropodidae",462.47,2
"23","Acerodon jubatus","Pteropodidae",1075,1
"24","Acerodon leucotis","Pteropodidae",462.47,2
"25","Acerodon mackloti","Pteropodidae",470.33,1
"26","Acinonyx jubatus","Felidae",46700,1
"27","Acomys airensis","Muridae",28.81,0
"28","Acomys cahirinus","Muridae",52.45,1
"29","Acomys chudeaui","Muridae",28.81,0
"30","Acomys cilicicus","Muridae",28.61,2
"31","Acomys cineraceus","Muridae",30.59,2
"32","Acomys dimidiatus","Muridae",28.81,0
"33","Acomys ignitus","Muridae",24,1
"34","Acomys johannis","Muridae",28.81,0
"35","Acomys kempi","Muridae",22,1
"36","Acomys louisae","Muridae",20.2,1
"37","Acomys minous","Muridae",62.5,1
"38","Acomys mullah","Muridae",28.74,2
"39","Acomys nesiotes","Muridae",28.67,2
"40","Acomys percivali","Muridae",22,1
"41","Acomys russatus","Muridae",49.75,1
"42","Acomys seurati","Muridae",28.81,0
"43","Acomys spinosissimus","Muridae",26.5,1
"44","Acomys subspinosus","Muridae",21,1
"45","Acomys wilsoni","Muridae",18.5,1
"46","Aconaemys fuscus","Octodontidae",133.5,1
"47","Aconaemys porteri","Octodontidae",113.5,0
"48","Aconaemys sagei","Octodontidae",96.5,1
"49","Acrobates pygmaeus","Acrobatidae",12,1
"50","Addax nasomaculatus","Bovidae",70000.32,1
"51","Aepeomys lugens","Cricetidae",37,1
"52","Aepeomys reigi","Cricetidae",37,0
"53","Aepyceros melampus","Bovidae",52500.08,1
"54","Aepyprymnus rufescens","Potoroidae",3250,1
"55","Aeretes melanopterus","Sciuridae",753.23,2
"56","Aeromys tephromelas","Sciuridae",1075,1
"57","Aeromys thomasi","Sciuridae",1435,1
"58","Aethalops aequalis","Pteropodidae",15,0
"59","Aethalops alecto","Pteropodidae",15,1
"60","Aethomys bocagei","Muridae",79.89,2
"61","Aethomys chrysophilus","Muridae",74.85,1
"62","Aethomys hindei","Muridae",103.5,1
"63","Aethomys ineptus","Muridae",133.16,1
"64","Aethomys kaiseri","Muridae",90,1
"65","Aethomys nyikae","Muridae",77.01,1
"66","Aethomys silindensis","Muridae",82.76,2
"67","Aethomys stannarius","Muridae",82.9,2
"68","Aethomys thomasi","Muridae",84.69,2
"69","Ailuropoda melanoleuca","Ursidae",108400,1
"70","Ailurops melanotis","Phalangeridae",10000,0
"71","Ailurops ursinus","Phalangeridae",10000,1
"72","Ailurus fulgens","Ailuridae",4900,1
"73","Akodon aerosus","Cricetidae",60,1
"74","Akodon affinis","Cricetidae",24.9,1
"75","Akodon albiventer","Cricetidae",21.8,1
"76","Akodon aliquantulus","Cricetidae",31.32,0
"77","Akodon azarae","Cricetidae",25,1
"78","Akodon bogotensis","Cricetidae",13,1
"79","Akodon boliviensis","Cricetidae",27.5,1
"80","Akodon budini","Cricetidae",26.9,1
"81","Akodon cursor","Cricetidae",39.85,1
"82","Akodon dayi","Cricetidae",32.5,1
"83","Akodon dolores","Cricetidae",50.5,1
"84","Akodon fumeus","Cricetidae",22.7,1
"85","Akodon iniscatus","Cricetidae",28.7,1
"86","Akodon juninensis","Cricetidae",39,1
"87","Akodon kofordi","Cricetidae",29.5,1
"88","Akodon latebricola","Cricetidae",39,1
"89","Akodon leucolimnaeus","Cricetidae",31.32,0
"90","Akodon lindberghi","Cricetidae",26.4,1
"91","Akodon lutescens","Cricetidae",20.69,1
"92","Akodon mimus","Cricetidae",24,1
"93","Akodon molinae","Cricetidae",33,1
"94","Akodon mollis","Cricetidae",30.4,1
"95","Akodon montensis","Cricetidae",31.32,0
"96","Akodon mystax","Cricetidae",18.5,1
"97","Akodon neocenus","Cricetidae",42.4,1
"98","Akodon oenos","Cricetidae",31.32,0
"99","Akodon orophilus","Cricetidae",39,1
"100","Akodon paranaensis","Cricetidae",31.32,0
"101","Akodon pervalens","Cricetidae",31.32,0
"102","Akodon reigi","Cricetidae",31.32,0
"103","Akodon sanctipaulensis","Cricetidae",27.1,1
"104","Akodon serrensis","Cricetidae",28.3,1
"105","Akodon siberiae","Cricetidae",34.6,1
"106","Akodon simulator","Cricetidae",42.5,1
"107","Akodon spegazzinii","Cricetidae",28.6,1
"108","Akodon subfuscus","Cricetidae",30.4,1
"109","Akodon surdus","Cricetidae",39,1
"110","Akodon sylvanus","Cricetidae",39,1
"111","Akodon toba","Cricetidae",51.2,1
"112","Akodon torques","Cricetidae",39,1
"113","Akodon varius","Cricetidae",40,1
"114","Alcelaphus buselaphus","Bovidae",171001.53,1
"115","Alcelaphus caama","Bovidae",176115.97,1
"116","Alcelaphus lichtensteinii","Bovidae",168695.66,1
"117","Alces alces","Cervidae",356998.16,1
"118","Alces americanus","Cervidae",541460.44,1
"119","Alionycteris paucidentata","Pteropodidae",16.15,1
"120","Allactaga balikunica","Dipodidae",93.08,2
"121","Allactaga bullata","Dipodidae",89.35,2
"122","Allactaga elater","Dipodidae",59,1
"123","Allactaga euphratica","Dipodidae",232,1
"124","Allactaga firouzi","Dipodidae",92.39,2
"125","Allactaga hotsoni","Dipodidae",76.5,1
"126","Allactaga major","Dipodidae",350,1
"127","Allactaga severtzovi","Dipodidae",159,1
"128","Allactaga sibirica","Dipodidae",97.5,1
"129","Allactaga tetradactyla","Dipodidae",52,1
"130","Allactaga vinogradovi","Dipodidae",90.51,2
"131","Allactaga williamsi","Dipodidae",116.74,0
"132","Allactodipus bobrinskii","Dipodidae",65.3,1
"133","Allenopithecus nigroviridis","Cercopithecidae",4749.96,1
"134","Allocebus trichotis","Cheirogaleidae",77.5,1
"135","Allocricetulus curtatus","Cricetidae",47.83,1
"136","Allocricetulus eversmanni","Cricetidae",115.56,1
"137","Alouatta belzebul","Atelidae",6400,1
"138","Alouatta caraya","Atelidae",5862.46,1
"139","Alouatta coibensis","Atelidae",6320.06,0
"140","Alouatta guariba","Atelidae",5188.33,1
"141","Alouatta macconnelli","Atelidae",6320.06,0
"142","Alouatta nigerrima","Atelidae",6320.06,0
"143","Alouatta palliata","Atelidae",7274.95,1
"144","Alouatta pigra","Atelidae",7000.03,1
"145","Alouatta sara","Atelidae",6611.04,1
"146","Alouatta seniculus","Atelidae",6145.54,1
"147","Alticola albicaudus","Cricetidae",34.53,2
"148","Alticola argentatus","Cricetidae",37.7,1
"149","Alticola barakshin","Cricetidae",33.6,2
"150","Alticola lemminus","Cricetidae",33.56,2
"151","Alticola macrotis","Cricetidae",36,1
"152","Alticola montosa","Cricetidae",34.53,2
"153","Alticola olchonensis","Cricetidae",36.96,0
"154","Alticola roylei","Cricetidae",37,1
"155","Alticola semicanus","Cricetidae",33.39,2
"156","Alticola stoliczkanus","Cricetidae",27.47,1
"157","Alticola strelzowi","Cricetidae",50,1
"158","Alticola tuvinicus","Cricetidae",33.32,2
"159","Amblysomus corriae","Chrysochloridae",52.6,0
"160","Amblysomus hottentotus","Chrysochloridae",52.6,1
"161","Amblysomus marleyi","Chrysochloridae",52.6,0
"162","Amblysomus robustus","Chrysochloridae",52.6,0
"163","Amblysomus septentrionalis","Chrysochloridae",52.6,0
"164","Ametrida centurio","Phyllostomidae",10.33,1
"165","Ammodillus imbellis","Muridae",50,1
"166","Ammodorcas clarkei","Bovidae",28049.81,1
"167","Ammospermophilus harrisii","Sciuridae",122,1
"168","Ammospermophilus insularis","Sciuridae",122.31,0
"169","Ammospermophilus interpres","Sciuridae",110.3,1
"170","Ammospermophilus leucurus","Sciuridae",103.67,1
"171","Ammospermophilus nelsoni","Sciuridae",160.4,1
"172","Ammotragus lervia","Bovidae",48000,1
"173","Amorphochilus schnablii","Furipteridae",3.3,1
"174","Amphinectomys savamis","Cricetidae",47.71,0
"175","Anathana ellioti","Tupaiidae",160,1
"176","Andalgalomys olrogi","Cricetidae",32.9,1
"177","Andalgalomys pearsoni","Cricetidae",25.4,1
"178","Andalgalomys roigi","Cricetidae",28.91,0
"179","Andinomys edax","Cricetidae",69.75,1
"180","Anisomys imitator","Muridae",510.5,1
"181","Anomalurus beecrofti","Anomaluridae",389,1
"182","Anomalurus derbianus","Anomaluridae",649.99,1
"183","Anomalurus pelii","Anomaluridae",1769.99,1
"184","Anomalurus pusillus","Anomaluridae",250,1
