"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication"
"1","Acinonyx jubatus","jubatus","Acinonyx",798,20484,283,716,22,59,71,1.203,416,16,752759,"Felidae","Carnivora",46700,1,"Yes",-24.59102,"Vulnerable","establishing_ex_situ_production","handicrafts_jewellery","pets_display_animals_horticulture","research","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85125834871908,1.85733249643127,4.66931688056611,26.4150631492351,-22.9131013957721,"","Partially-domesticated"
"2","Alces alces","alces","Alces",1869,49135,489,0,0,119,97,0.815,1082,18,460509,"Cervidae","Artiodactyla",356998.16,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98677173426624,1.99122607569249,5.5526659777259,NA,NA,"","Partially-domesticated"
"3","Ammotragus lervia","lervia","Ammotragus",160,2014,119,154,4,62,23,0.371,57,7,768699,"Bovidae","Artiodactyla",48000,1,"Yes",38.52,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,1.38021124171161,4.68124123737559,-102.21005397302,31.5814513838622,"","Partially-domesticated"
"4","Antidorcas marsupialis","marsupialis","Antidorcas",214,3599,122,0,0,50,33,0.66,95,7,363040,"Bovidae","Artiodactyla",31500,1,"Yes",-20.759605,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51851393987789,1.53147891704226,4.4983105537896,21.351947062755,-26.0885500208603,"","Partially-domesticated"
"5","Antilope cervicapra","cervicapra","Antilope",128,1246,95,0,0,91,21,0.231,32,3,363043,"Bovidae","Artiodactyla",37500,1,"Yes",29.526114,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.34242268082221,4.57403126772772,77.6065166662748,25.4665568811673,"","Partially-domesticated"
"6","Atelerix albiventris","albiventris","Atelerix",170,1476,83,149,5,46,20,0.435,49,7,376305,"Erinaceidae","Erinaceomorpha",600,1,"Yes",10.87,"Least Concern","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30102999566398,1.32221929473392,2.77815125038364,-0.371129503931376,10.6092740078204,"","Domesticated"
"7","Axis axis","axis","Axis",377,6355,216,338,6,81,38,0.469,145,10,906317,"Cervidae","Artiodactyla",67281.85,1,"Yes",22.411028,"Least Concern","food_animal","food_human","handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57978359661681,1.5910646070265,4.82789792443292,79.6797511215051,24.1391729167172,"","Partially-domesticated"
"8","Bassariscus astutus","astutus","Bassariscus",112,2345,68,0,0,123,28,0.228,61,5,685103,"Procyonidae","Carnivora",1129.51,1,"Yes",25.833333,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44715803134222,1.46239799789896,3.05289008025469,-107.627847527454,31.4314732790728,"","Partially-domesticated"
"9","Bassariscus sumichrasti","sumichrasti","Bassariscus",2,52,2,2,0,48,2,0.042,1,0,794088,"Procyonidae","Carnivora",899.99,1,"Yes",16.2625,"Least Concern","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.95423768391827,-93.4920333198519,16.9170074368424,"","Partially-domesticated"
"10","Bison bison","bison","Bison",1256,27149,424,1162,47,61,72,1.18,653,13,907693,"Bovidae","Artiodactyla",579255.28,1,"No",NA,"Near Threatened","construction_or_structural_materials","establishing_ex_situ_production","fibre","food_human","handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,1.85733249643127,1.86332286012046,5.76287000114033,NA,NA,"","Partially-domesticated"
