species,median_lat,order
Abditomys latidens,16.85,Rodentia
Abrawayaomys ruschii,-24.482281999999998,Rodentia
Abrocoma boliviensis,-17.9,Rodentia
Abrocoma cinerea,-22.11667,Rodentia
Abrocoma famatina,-28.731926,Rodentia
Abrothrix hershkovitzi,-54.112778,Rodentia
Abrothrix illuteus,-26.799999,Rodentia
Abrothrix lanosus,-53.150001,Rodentia
Abrothrix manni,-41.066666,Rodentia
Abrothrix markhami,-49.13,Rodentia
Abrothrix sanborni,-43.116665,Rodentia
Acerodon celebensis,-1.133333,Chiroptera
Acerodon humilis,4.01,Chiroptera
Acerodon jubatus,9.4166,Chiroptera
Acerodon leucotis,9.73,Chiroptera
Acerodon mackloti,-8.066667,Chiroptera
Acinonyx jubatus,-24.59102,Carnivora
Acomys airensis,19.4,Rodentia
Acomys cahirinus,28.516666,Rodentia
Acomys cineraceus,10.87,Rodentia
Acomys dimidiatus,31.63,Rodentia
Acomys ignitus,-3.633333,Rodentia
Acomys johannis,11.3414545,Rodentia
Acomys kempi,0.441816,Rodentia
Acomys louisae,31.848948,Rodentia
Acomys minous,35.353410499999995,Rodentia
Acomys mullah,7.833334,Rodentia
Acomys nesiotes,34.860556,Rodentia
Acomys percivali,0.6667,Rodentia
Acomys selousi,-15.695388,Rodentia
Acomys spinosissimus,-15.831196,Rodentia
Acomys subspinosus,-32.13,Rodentia
Acomys whitei,16.7,Rodentia
Acomys wilsoni,-3.516667,Rodentia
Aconaemys fuscus,-40.294145,Rodentia
Aconaemys porteri,-40.82,Rodentia
Aconaemys sagei,-38.016666,Rodentia
Acrobates pygmaeus,-33.348,Diprotodontia
Addax nasomaculatus,29.868026,Artiodactyla
Aegialomys galapagoensis,-0.816667,Rodentia
Aegialomys xanthaeolus,-6.833333,Rodentia
Aegyptopithecus zeuxis,29.450001,Primates
Aelurocyon spissidens,29.86,Carnivora
Aelurodon asthenostylus,34.799999,Carnivora
Aelurodon brachygnathus,42.400002,Carnivora
Aelurodon compressus,42.700001,Carnivora
Aelurodon ferox,42.700001,Carnivora
Aelurodon mcgrewi,42.799999,Carnivora
Aelurodon taxoides,42.700001,Carnivora
Aeolopithecus chirobates,29.450001,Primates
Aepeomys lugens,8.62,Rodentia
Aepyprymnus rufescens,-28.7167,Diprotodontia
Aeretes melanopterus,26.430681999999997,Rodentia
Aeromys tephromelas,3.505,Rodentia
Aeromys thomasi,5.343469,Rodentia
Aethalops aequalis,4.038422,Chiroptera
Aethalops alecto,2.85,Chiroptera
Aethomys bocagei,-9.875,Rodentia
Aethomys chrysophilus,-22.4167,Rodentia
Aethomys hindei,3.1333,Rodentia
Aethomys ineptus,-23.980216499999997,Rodentia
Aethomys kaiseri,-1.5667,Rodentia
Aethomys nyikae,-10.72,Rodentia
Aethomys silindensis,-19.23,Rodentia
Aethomys stannarius,8.8166835,Rodentia
Aethomys thomasi,-11.875,Rodentia
Aetiocetus cotylalveus,45.007084,Cetacea
Aetiocetus polydentatus,43.296665,Cetacea
Aetiocetus weltoni,44.5,Cetacea
Aglaocetus patulus,38.334583,Artiodactyla
Ailurops ursinus,1.40516,Diprotodontia
Akodon aerosus,-13.100533,Rodentia
Akodon albiventer,-18.666666,Rodentia
Akodon arviculoides,-23.551621,Rodentia
Akodon boliviensis,-16.083334,Rodentia
Akodon budini,-24.075001999999998,Rodentia
Akodon caenosus,-26.2762,Rodentia
Akodon cursor,-24.333333,Rodentia
Akodon dayi,-16.799999,Rodentia
Akodon dolores,-29.406262,Rodentia
Akodon fumeus,-17.133333,Rodentia
Akodon juninensis,-11.559114999999998,Rodentia
Akodon kofordi,-14.133333,Rodentia
Akodon lindberghi,-15.783334,Rodentia
