"","species","id"
"1","Abditomys latidens",3610454
"2","Abrawayaomys chebezi",5852622
"3","Abrawayaomys ruschii",3611096
"4","Abrocoma boliviensis",3609753
"5","Abrocoma budini",3609757
"6","Abrocoma cinerea",906641
"7","Abrocoma famatina",3609754
"8","Abrocoma shistacea",3609758
"9","Abrocoma uspallata",3609756
"10","Abrocoma vaccarum",3609752
"11","Abrothrix hershkovitzi",621147
"12","Abrothrix illuteus",419783
"13","Abrothrix lanosus",843843
"14","Abrothrix manni",5925545
"15","Abrothrix markhami",311709
"16","Abrothrix sanborni",3608360
"17","Acerodon celebensis",635022
"18","Acerodon humilis",3613521
"19","Acerodon jubatus",718815
"20","Acerodon leucotis",3613520
"21","Acerodon mackloti",3613523
"22","Acinonyx jubatus",752759
"23","Acinonyx pardinensis",7656114
"24","Acomys airensis",3608603
"25","Acomys cahirinus",816259
"26","Acomys chudeaui",487174
"27","Acomys cilicicus",173081
"28","Acomys cineraceus",1043426
"29","Acomys dimidiatus",996659
"30","Acomys ignitus",368525
"31","Acomys johannis",905136
"32","Acomys kempi",501413
"33","Acomys louisae",3608604
"34","Acomys minous",747232
"35","Acomys mullah",3608602
"36","Acomys muzei",378250
"37","Acomys nesiotes",747230
"38","Acomys ngurui",378247
"39","Acomys percivali",747234
"40","Acomys selousi",6144822
"41","Acomys seurati",3608607
"42","Acomys spinosissimus",477714
"43","Acomys subspinosus",863707
"44","Acomys whitei",7654677
"45","Acomys wilsoni",600704
"46","Aconaemys fuscus",620800
"47","Aconaemys porteri",867368
"48","Aconaemys sagei",867373
"49","Acrobates pulchellus",7657182
"50","Acrobates pygmaeus",432839
"51","Adaetontherium incognitum",7655718
"52","Addax nasomaculatus",989805
"53","Aegialomys galapagoensis",509361
"54","Aegialomys xanthaeolus",282364
"55","Aegyptopithecus zeuxis",4941646
"56","Aelurocyon spissidens",3612558
"57","Aelurodon asthenostylus",4941926
"58","Aelurodon brachygnathus",3612544
"59","Aelurodon compressus",3612606
"60","Aelurodon ferox",4941927
"61","Aelurodon francisci",7655927
"62","Aelurodon mcgrewi",4941929
"63","Aelurodon taxoides",4941925
"64","Aeolopithecus chirobates",6145291
"65","Aeorestes egregius",297963
"66","Aeorestes semotus",5839506
"67","Aeorestes villosissimus",5839507
"68","Aepeomys lugens",783823
"69","Aepeomys reigi",3608226
"70","Aepyprymnus rufescens",34417
"71","Aeretes melanopterus",675191
"72","Aeromys tephromelas",675194
"73","Aeromys thomasi",3609018
"74","Aethalops aequalis",308607
