"","synonyms","id"
"1","Akodon hershkovitzi",621147
"2","Abrothrix illutea",419783
"3","Akodon illuteus",419783
"4","Abrothrix lanosa",843843
"5","Akodon lanosus",843843
"6","Oxymycterus lanosus",843843
"7","? lanosus",843843
"8","Abrothrix GDE-2015",5925545
"9","Abrothrix olivaceus markhami",311709
"10","Akodon markhami",311709
"11","Akodon sanborni",3608360
"12","Pteropus celebensis",635022
"13","Pteropus mackloti",3613523
"14","Cynaelurus jubatus",752759
"15","Felis jubata",752759
"16","Acinonyx rex",752759
"17","Acomys albigena",816259
"18","Acomys cahirinus helmyi",816259
"19","Acomys sabryi",816259
"20","Acomys hunteri",816259
"21","Acomys dimidiatus megalodus",816259
"22","Acomys viator",816259
"23","Acomys cineraseus",1043426
"24","Acomys cinerascens",1043426
"25","Acomys hystrella",1043426
"26","Acomys witherbyi",1043426
"27","Acomys dimidiatus homericus",996659
"28","Acomys flavidus",996659
"29","Mus megalotis",996659
"30","Mus hispidus",996659
"31","Acomys ignitus montanus",501413
"32","Acomys sp. EV-2011b",378250
"33","Acomys sp. EV-2011a",378247
"34","Acomys transvaalensis",6144822
"35","Acomys ablutus",600704
"36","Didelphys pygmaea",432839
"37","Didelphis pygmaea",432839
"38","Dromicia frontalis",432839
"39","Acrobates pulchellus",7657182
"40","Oryzomys galapogoensis",509361
"41","Oryzomys galapagoensis",509361
"42","? galapagoensis",509361
"43","Oryzomys xanthaeolus",282364
"44","Oryzomys xantheolus",282364
"45","Euoplocyon spissidens",3612558
"46","Enhydrocyon spissidens",3612558
"47","Euoplocyon praedator",3612544
"48","Euoplocyon brachygnathus",3612544
"49","Cynodesmus cuspidatus",3612606
"50","Carpocyon compressus",3612606
"51","Tomarctus cuspidatus",3612606
"52","Tomarctus compressus",3612606
"53","Carpocyon cuspidatus",3612606
"54","Tephrocyon marshi",4941927
"55","Aelurodon platyrhinus",4941927
"56","Aelurodon marshi",4941927
"57","Tomarctus propter",4941925
"58","Euoplocyon magnus",4941925
"59","Propliopithecus chirobates",6145291
"60","Lasiurus egregius",297963
"61","Atalapha egregia",297963
"62","Aeorestes cinereus semotus",5839506
"63","Lasiurus cinereus semotus",5839506
"64","Aeorestes cinereus villosissimus",5839507
"65","Lasiurus cinereus villosissimus",5839507
"66","Bettongia rufescens",34417
"67","Hypsiprymnus melanotis",34417
"68","Aethomys chrysophilus imago",911457
"69","Mus chrysophilus acticola",911457
"70","Mus voi",911457
"71","Epimys kaiseri centralis",3608711
"72","Rattus helleri",3608711
"73","Mus norae",3608711
"74","Mus medicatus",3608711
"75","Mus chrysophilus pretoriae",411031
"76","Mus chrysophilus tzaneenensis",411031
"77","Aethomys chrysophilus magalakuini",411031
"78","Aethomys chrysophilus tongensis",411031
"79","Aethomys chrysophilus harei",411031
"80","Aethomys chrysophilus capricornis",411031
"81","Aethomys chrysophilus fouriei",411031
"82","Epimys kaiseri turneri",649436
"83","Mus walambae",649436
"84","Mus manteufeli",649436
"85","Phalanger melanotis",3606934
"86","Akodon aerosus baliolus",224511
"87","Hypsimys budini",837330
"88","Akodon lutescens caenosus",694678
"89","Akodon aliquantulus",694678
"90","Akodon simulator glaucinus",468307
"91","Neomicroxus latebricola",694987
"92","? latebricola",694987
"93","Microxus mimus",1068786
"94","Akodon paranensis",896699
"95","Akodon simulator tartareus",468309
"96","Akodon sp. BSC-2010a",398446
"97","Alcelaphus buselaphus caama",989782
"98","Megalotragus kattwinkeli",6146180
"99","Alcelaphus buselaphus lichtenseini",363033
"100","Alcelaphus buselaphus lichtensteini",363033
"101","Sigmoceros lichtensteinii",363033
"102","Alcelaphus lichtensteinii",363033
"103","? lichtensteinii",363033
"104","Alces alces americana",196762
"105","Cervus americanus",196762
"106","Phlaocyon multicuspus",3612594
"107","Microtus mongolicus",839865
"108","Microtus xerophilus",839865
"109","Microtus arvalis baicalensis",839865
"110","Microtus poljakovi",839865
"111","Allactaga (Orientallactaga) bullata",910642
"112","Allactaga euphratica kivanci",739520
"113","Allactaga firouzi",739517
"114","Dipus decumanus",852287
"115","Allactaga jaculus fuscus",852287
"116","Allactaga jaculus macrotis",852287
"117","Allactaga saliens chachlovi",852287
"118","Allactaga major djetysuensis",852287
"119","Allactaga saliens hochlovi",852287
"120","Mus jaculus",886091
"121","Allactaga jaculus brachyotis",852287
"122","Allactaga jaculus intermedius",852287
"123","Dipus major",852287
"124","Dipus vexillarius",852287
"125","Dipus aulacotis",852287
"126","Dipus spiculum",852287
"127","Allactaga severtzovi chorezmi",3608064
"128","Allactaga sibirica bulganensis",814883
"129","Allactaga sibirica ognevi",814883
"130","Dipus jaculus mongolica",814883
"131","Mus jaculus media",814883
"132","Allactaga sibirica altorum",814883
"133","Dipus brachyurus",814883
"134","Allactaga saltator dementiewi",814883
"135","Allactaga sibirica semideserta",814883
"136","Dipus alactaga",814883
"137","Dipus saltator",814883
"138","Allactaga grisescens",814883
"139","Dipus halticus",910652
"140","Allactaga mongolica longior",814883
"141","Allactaga suschkini",814883
"142","Dipus annulatus",814883
"143","Allactaga ruckbeili",814883
"144","Mus saliens",814883
"145","Allactaga williamsi caprimulga",164961
"146","Allactaga williamsi schmidti",164961
"147","Allactaga williamsi laticeps",164961
"148","Cercopithecus nigroviridis",721471
"149","Cheirogaleus trichotis",516007
"150","Cercopithecus lhoesti",954691
"151","Chlorocebus lhoesti",954691
"152","Cercopithecus thomasi rutschuricus",954691
"153","Cercopithecus thomasi",954691
"154","Cercopithecus solatus",807150
"155","Chlorocebus solatus",807150
"156","Cricetulus eversmanni",753012
"157","Cricetulus eversmanni beljaevi",753012
"158","Cricetulus eversmanni belajevi",753012
"159","Mesocricetus microdon",753012
"160","Cricetulus beljawi",753012
"161","Alouatta seniculus arctoidea",3607552
"162","Simia ursinus",3607552
"163","Simia caraya",791697
"164","Simia straminea",791697
"165","Stentor niger",2827046
"166","Mycetes barbatus",791697
"167","Mycetes discolor",3607550
"168","Alouatta palliata luctuosa",558066
"169","Mycetes villosus",558066
"170","Alouatta seniculus sara",814670
"171","Alouatta belzebul ululata",3607551
"172","Alticola acmaeus",3608470
"173","Alticola albicauda",3608470
"174","Alticola blanfordi lahulius",118432
"175","Alticola worthingtoni subluteus",118432
"176","Alticola argentata rosanovi",118432
"177","Alticola argentata shnitnikovi",118432
"178","Alticola villosa",118432
"179","Alticola gracilis",118432
"180","Microtus argurus",118432
"181","Alticola worthingtoni",118432
"182","Alticola longicauda",118432
"183","Arvicola severtzovi",118432
"184","Alticola phasma",118432
"185","Arvicola blanfordi",118432
"186","Microtus imitator",3608469
"187","Alticola roylei cautus",3608467
"188","Microtus nanschanicus",7067202
"189","Alticola stracheyi",42889
"190","Microtus cricetulus",7067202
"191","Arvicola stracheyi",7067202
"192","Microtus acrophilus",7067202
"193","Microtus lama",7067202
"194","Tamias interpres",580348
"195","Tamias leucurus",580339
"196","Spermophilus leucurus",580339
"197","Antilope lervia",768699
"198","Tupaia ellioti",603405
"199","Andinomys edax lineicaudatus",84877
"200","Anomalurus sp. ED-2017",254702
"201","Anomalurus beecrofti citrinus",254702
"202","Anomalurus beecrofti hervoi",254702
"203","Anomalurus beecrofti argenteus",254702
"204","Anomalurus beecrofti schoutedeni",254702
"205","Anomalurus fulgens",254702
"206","Anomalurus laniger",254702
"207","Anomalurops chapini",254702
"208","Anomalurus imperator",3609277
"209","Anomalurus jacksoni perustus",3609277
"210","Anomalurus fraseri nigrescens",3609277
"211","Anomalurus jacksoni jordani",3609277
"212","Anomalurus fraseri griselda",3609277
"213","Anomalurus jacksoni fortior",3609277
"214","Anomalurus fraseri laticeps",3609277
"215","Anomalurus fraseri",3609277
"216","Anomalurus chrysophaenus",3609277
"217","Anomalurus orientalis",3609277
"218","Anomalurus jacksoni",3609277
"219","Anomalurus cinereus",3609277
"220","Anomalurus neavei",3609277
"221","Anomalurus erythronotus",3609277
"222","Anomalurus beldeni",3609277
"223","Pteromys squamicaudus",3609277
"224","Pteromys derbianus",3609277
"225","Anomalurus batesi",3609275
"226","Anoura caudifera",351792
"227","Glossophaga caudifer",351792
"228","Anoura geoffroyi peruana",6146453
"229","Rhinchonycteris peruana",6146453
"230","Anourosorex squamipes yamashinai",843247
"231","Anourosorex yamashina",843247
"232","Sminthopsis laniger",1090598
"233","? laniger",1090598
"234","Phascogale flavipes adusta",3607143
"235","Phascogale bella",760615
"236","Phascogale godmani",760617
"237","Phascomurexia naso",470342
"238","? naso",6348048
"239","Antechinus unicolor",74733
"240","Phascogale flavipes",74733
"241","Phascogale swainsonii mimetes",74726
"242","Phascogale swainsonii",74726
"243","Antilope marsupialis",363040
"244","Sigmodontinae sp. SB-2015",5846385
"245","Capra cervicapra",363043
"246","Bauereus dubiaquercus",127235
"247","Bauerus dubiaquercus",127235
"248","Lutra inunguis",4709
"249","Lutra capensis",4709
"250","Anahyster calabaricus",4709
"251","Aonyx delalandi",4709
"252","Lutra lenoiri",4709
"253","Amblonyx cinereus",956747
"254","Aonyx cinerea",956747
"255","Lutra cinerea",956747
"256","Micraonyx cinerea",956747
"257","Aotus lemurinus brumbacki",338636
"258","Aotus lemurinus griseimembra",583084
"259","Aotus bipunstatus",583084
"260","Aotus lanius",897634
"261","Aotus hershkovitzi",897634
"262","Aotus pervigilis",897634
"263","Aotus aversus",897634
"264","Nyctipithecus hirsutus",897634
"265","Nyctipithecus villosus",897634
"266","Aotus nancymai",913299
"267","Aotus senex",685852
"268","Cheirogaleus commersonii",791711
"269","Simia trivirgata",791711
"270","Nyctipithecus trivirgatus",791711
"271","Nyctipithecus duruculi",791711
"272","Nyctipithecus felinus",791711
"273","Aotus microdon",685855
"274","Nyctipithecus oseryi",685855
"275","Nyctipithecus rufipes",685855
"276","Aotus gularis",685855
"277","Nyctipithecus spixi",685855
"278","Aotus lemurinus zonalis",298340
"279","Apodemus alpinus",794922
"280","Micromys geisha celatus",663824
"281","Apodemus geisha yakui",663824
"282","Apodemus geisha tanei",663824
"283","Micromys geisha hokkaidi",663824
"284","Apodemus geisha sagax",663824
"285","Micromys geisha",663824
"286","Apodemus agrarius chejuensis",226436
"287","Apodemus fergussoni",588266
"288","Sylvaemus ciscaucasicus",57422
"289","Sylvaemus flavicollis",1088760
"290","Apodemus wintoni",1088760
"291","Apodemus flavicollis samariensis",1088760
"292","Apodemus flavicollis saturatus",1088760
"293","Mus sylvaticus princeps",1088760
"294","Mus flavicollis",1088760
"295","Mus sylvaticus typicus",1088760
"296","Mus sylvaticus fennicus",1088760
"297","Apodemus flavicollis brauneri",1088760
"298","Sylvaemus sylvaticus stankovici",1088760
"299","Apodemus arianus",1088760
"300","Apodemus brauneri",1088760
"301","Mus sylvaticus wintoni",1088760
"302","Apodemus samariensis",1088760
"303","Apodemus parvus",1088760
"304","Mus cellarius",1088760
"305","Mus arianus",1088760
"306","Apodemus cellarius",1088760
"307","Mus erythronotus",271571
"308","Sylvaemus fulvipectus",754771
"309","Apodemus sylvaticus iconicus",1729
"310","Apodemus mystacinus rhodius",1085349
"311","Apodemus flavicollis pohlei",1085349
"312","Apodemus mystacinus euxinus",1085349
"313","Mus mystacinus smyrnensis",1085349
"314","Mus mystacinus",1085349
"315","Apodemus sylvaticus pallipes",429364
"316","Micromys sylvaticus pentax",429364
"317","Micromys sylvaticus wardi",429364
"318","Apodemus wardi",1046535
"319","Sylvaemus ponticus",883091
"320","Apodemus flavicollis argyropuloi",883091
"321","Apodemus flavicollis parvus",883091
"322","Mus arianus griseus",3608833
"323","Apodemus speciosus tusimaensis",644310
"324","Apodemus speciosus dorsalis",644310
"325","Apodemus speciosus insperatus",644310
"326","Micromys speciosus navigator",644310
"327","Micromys speciosus ainu",644310
"328","Apodemus speciosus sadoensis",644310
"329","Sylvaemus sylvaticus",794922
"330","Mus algirus",794922
"331","Mus sylvaticus",794922
"332","Apodemus bergensis",794922
"333","Mus hebridensis",794922
"334","Apodemus creticus",794922
"335","Apodemus hebridensis tirae",794922
"336","Mus sylvaticus isabellinus",794922
"337","Apodemus sylvaticus creticus",794922
"338","Mus sylvaticus parvus",794922
"339","Mus sylvaticus albus",794922
"340","Apodemus fridariensis thuleo",794922
"341","Apodemus hebridensis hamiltoni",794922
"342","Apodemus sylvaticus maximus",794922
"343","Apodemus fridariensis grantii",794922
"344","Apodemus hebridensis larus",794922
"345","Mus sylvaticus leucocephalus",794922
"346","Apodemus hebridensis tural",794922
"347","Mus sylvaticus alpinus",794922
"348","Micromys sylvaticus callipides",794922
"349","Apodemus sylvaticus spadix",794922
"350","Mus sylvaticus bergensis",794922
"351","Mus sylvaticus flavobrunneus",794922
