"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"1","Tachyglossus aculeatus","Tachyglossidae",3025,1
"2","Zaglossus attenboroughi","Tachyglossidae",8532.39,0
"3","Zaglossus bartoni","Tachyglossidae",7180,1
"4","Zaglossus bruijni","Tachyglossidae",10139.5,1
"5","Ornithorhynchus anatinus","Ornithorhynchidae",1484.25,1
"6","Caluromys philander","Didelphidae",229.25,1
"7","Caluromys derbianus","Didelphidae",297,1
"8","Caluromys lanatus","Didelphidae",325,1
"9","Caluromysiops irrupta","Didelphidae",250,1
"10","Glironia venusta","Didelphidae",114,1
"11","Chironectes minimus","Didelphidae",946,1
"12","Didelphis aurita","Didelphidae",1163.99,1
"13","Didelphis imperfecta","Didelphidae",1260.04,0
"14","Didelphis marsupialis","Didelphidae",1091.16,1
"15","Didelphis pernigra","Didelphidae",1260.04,0
"16","Didelphis virginiana","Didelphidae",2195.48,1
"17","Didelphis albiventris","Didelphidae",904,1
"18","Gracilinanus formosus","Didelphidae",18.9,0
"19","Gracilinanus emiliae","Didelphidae",7.6,1
"20","Gracilinanus microtarsus","Didelphidae",31,1
"21","Gracilinanus marica","Didelphidae",23.8,1
"22","Gracilinanus dryas","Didelphidae",18,1
"23","Gracilinanus aceramarcae","Didelphidae",20.5,1
"24","Gracilinanus agricolai","Didelphidae",18.9,0
"25","Gracilinanus agilis","Didelphidae",22,1
"26","Gracilinanus ignitus","Didelphidae",18.9,0
"27","Hyladelphys kalinowskii","Didelphidae",16.75,1
"28","Lestodelphys halli","Didelphidae",76,1
"29","Lutreolina crassicaudata","Didelphidae",537.3,1
"30","Marmosa murina","Didelphidae",26,1
"31","Marmosa xerophila","Didelphidae",46.2,1
"32","Marmosa tyleriana","Didelphidae",32.4,1
"33","Marmosa rubra","Didelphidae",63,1
"34","Marmosa quichua","Didelphidae",38.23,0
"35","Marmosa mexicana","Didelphidae",49.45,1
"36","Marmosa lepida","Didelphidae",14,1
"37","Marmosa andersoni","Didelphidae",47.4,1
"38","Marmosa robinsoni","Didelphidae",56.67,1
"39","Marmosops handleyi","Didelphidae",30.7,1
"40","Marmosops juninensis","Didelphidae",31.57,0
"41","Marmosops pinheiroi","Didelphidae",31.57,0
"42","Marmosops paulensis","Didelphidae",38.89,1
"43","Marmosops parvidens","Didelphidae",15,1
"44","Marmosops noctivagus","Didelphidae",21,1
"45","Marmosops neblina","Didelphidae",31.57,0
"46","Marmosops bishopi","Didelphidae",19.5,1
"47","Marmosops impavidus","Didelphidae",40.5,1
"48","Marmosops incanus","Didelphidae",62.3,1
"49","Marmosops fuscatus","Didelphidae",60,1
"50","Marmosops dorothea","Didelphidae",37.5,1
"51","Marmosops cracens","Didelphidae",25.5,1
"52","Marmosops invictus","Didelphidae",29.2,1
"53","Metachirus nudicaudatus","Didelphidae",375,1
"54","Micoureus demerarae","Didelphidae",75.75,1
"55","Micoureus regina","Didelphidae",118.6,1
"56","Micoureus paraguayanus","Didelphidae",112.43,1
"57","Micoureus constantiae","Didelphidae",90,1
"58","Micoureus alstoni","Didelphidae",132.3,1
"59","Micoureus phaeus","Didelphidae",103.76,0
"60","Monodelphis emiliae","Didelphidae",40,1
"61","Monodelphis osgoodi","Didelphidae",112,1
"62","Monodelphis umbristriata","Didelphidae",61.54,0
"63","Monodelphis theresa","Didelphidae",112,1
"64","Monodelphis sorex","Didelphidae",48,1
"65","Monodelphis scalops","Didelphidae",741,1
"66","Monodelphis rubida","Didelphidae",45.5,1
"67","Monodelphis palliolata","Didelphidae",61.54,0
"68","Monodelphis unistriata","Didelphidae",55.3,1
"69","Monodelphis kunsi","Didelphidae",11.3,1
"70","Monodelphis glirina","Didelphidae",61.54,0
"71","Monodelphis domestica","Didelphidae",71.4,1
"72","Monodelphis dimidiata","Didelphidae",58,1
"73","Monodelphis brevicaudata","Didelphidae",69.63,1
"74","Monodelphis americana","Didelphidae",19.5,1
"75","Monodelphis adusta","Didelphidae",35,1
"76","Monodelphis maraxina","Didelphidae",61.57,2
"77","Monodelphis iheringi","Didelphidae",112,1
"78","Philander andersoni","Didelphidae",325,1
"79","Philander opossum","Didelphidae",585.5,1
"80","Philander mcilhennyi","Didelphidae",325,1
"81","Philander frenatus","Didelphidae",395.45,0
"82","Thylamys pusillus","Didelphidae",28.21,1
"83","Thylamys venustus","Didelphidae",24.41,0
"84","Thylamys tatei","Didelphidae",24.41,0
"85","Thylamys sponsorius","Didelphidae",24.41,0
"86","Thylamys velutinus","Didelphidae",20.7,1
"87","Thylamys macrurus","Didelphidae",34.43,1
"88","Thylamys karimii","Didelphidae",24.41,0
"89","Thylamys cinderella","Didelphidae",24.41,0
"90","Thylamys elegans","Didelphidae",28.9,1
"91","Thylamys pallidior","Didelphidae",14.9,1
"92","Tlacuatzin canescens","Didelphidae",47.73,1
"93","Caenolestes caniventer","Caenolestidae",40,1
"94","Caenolestes condorensis","Caenolestidae",47.81,1
"95","Caenolestes convelatus","Caenolestidae",40,1
"96","Caenolestes fuliginosus","Caenolestidae",27.8,1
"97","Lestoros inca","Caenolestidae",21.1,1
"98","Rhyncholestes raphanurus","Caenolestidae",21,1
"99","Dromiciops gliroides","Microbiotheriidae",22.3,1
"100","Notoryctes caurinus","Notoryctidae",34,1
"101","Notoryctes typhlops","Notoryctidae",55,1
"102","Myrmecobius fasciatus","Myrmecobiidae",471.5,1
"103","Dasycercus cristicauda","Dasyuridae",100,1
"104","Dasykaluta rosamondae","Dasyuridae",28.75,1
"105","Dasyuroides byrnei","Dasyuridae",109.47,1
"106","Dasyurus spartacus","Dasyuridae",885.67,1
"107","Dasyurus albopunctatus","Dasyuridae",637,1
"108","Dasyurus viverrinus","Dasyuridae",1090,1
"109","Dasyurus geoffroii","Dasyuridae",1100,1
"110","Dasyurus maculatus","Dasyuridae",5500,1
"111","Dasyurus hallucatus","Dasyuridae",525,1
"112","Myoictis melas","Dasyuridae",200,1
"113","Myoictis wallacii","Dasyuridae",200,0
"114","Neophascogale lorentzi","Dasyuridae",212,1
"115","Parantechinus apicalis","Dasyuridae",68.75,1
"116","Phascolosorex doriae","Dasyuridae",168.31,1
"117","Phascolosorex dorsalis","Dasyuridae",138.5,1
"118","Pseudantechinus bilarni","Dasyuridae",23.05,1
"119","Pseudantechinus woolleyae","Dasyuridae",40,1
"120","Pseudantechinus roryi","Dasyuridae",25.06,0
"121","Pseudantechinus ningbing","Dasyuridae",20,1
"122","Pseudantechinus macdonnellensis","Dasyuridae",32.5,1
"123","Pseudantechinus mimulus","Dasyuridae",16.5,1
"124","Sarcophilus harrisii","Dasyuridae",10000,1
"125","Antechinus leo","Dasyuridae",74,1
"126","Antechinus subtropicus","Dasyuridae",59.5,1
"127","Antechinus stuartii","Dasyuridae",27.5,1
"128","Antechinus minimus","Dasyuridae",53.5,1
"129","Antechinus flavipes","Dasyuridae",45,1
"130","Antechinus bellus","Dasyuridae",44.5,1
"131","Antechinus agilis","Dasyuridae",22.13,1
"132","Antechinus adustus","Dasyuridae",36,1
"133","Antechinus swainsonii","Dasyuridae",53,1
"134","Antechinus godmani","Dasyuridae",76.5,1
"135","Micromurexia habbema","Dasyuridae",46.97,0
