"","scientificName","redlistCategory"
"1","Abditomys latidens","Data Deficient"
"2","Abeomelomys sevia","Least Concern"
"3","Abrawayaomys chebezi","Data Deficient"
"4","Abrawayaomys ruschii","Least Concern"
"5","Abrocoma bennettii","Least Concern"
"6","Abrocoma boliviensis","Critically Endangered"
"7","Abrocoma budini","Data Deficient"
"8","Abrocoma cinerea","Least Concern"
"9","Abrocoma famatina","Data Deficient"
"10","Abrocoma shistacea","Least Concern"
"11","Abrocoma uspallata","Data Deficient"
"12","Abrocoma vaccarum","Data Deficient"
"13","Abrothrix andinus","Least Concern"
"14","Abrothrix illutea","Least Concern"
"15","Abrothrix jelskii","Least Concern"
"16","Abrothrix lanosus","Least Concern"
"17","Abrothrix longipilis","Least Concern"
"18","Abrothrix manni","Least Concern"
"19","Abrothrix olivaceus","Least Concern"
"20","Abrothrix sanborni","Near Threatened"
"21","Acerodon celebensis","Vulnerable"
"22","Acerodon humilis","Endangered"
"23","Acerodon jubatus","Endangered"
"24","Acerodon leucotis","Vulnerable"
"25","Acerodon mackloti","Vulnerable"
"26","Acinonyx jubatus","Endangered"
"27","Acinonyx jubatus","Vulnerable"
"28","Acomys airensis","Not Applicable"
"29","Acomys airensis","Least Concern"
"30","Acomys cahirinus","Least Concern"
"31","Acomys cahirinus","Least Concern"
"32","Acomys cilicicus","Data Deficient"
"33","Acomys cineraceus","Least Concern"
"34","Acomys dimidiatus","Least Concern"
"35","Acomys dimidiatus","Least Concern"
"36","Acomys ignitus","Least Concern"
"37","Acomys johannis","Least Concern"
"38","Acomys kempi","Least Concern"
"39","Acomys louisae","Least Concern"
"40","Acomys minous","Data Deficient"
"41","Acomys mullah","Least Concern"
"42","Acomys muzei","Least Concern"
"43","Acomys nesiotes","Data Deficient"
"44","Acomys ngurui","Least Concern"
"45","Acomys percivali","Least Concern"
"46","Acomys russatus","Data Deficient"
"47","Acomys russatus","Least Concern"
"48","Acomys selousi","Least Concern"
"49","Acomys seurati","Least Concern"
"50","Acomys spinosissimus","Least Concern"
"51","Acomys subspinosus","Least Concern"
"52","Acomys wilsoni","Least Concern"
"53","Aconaemys fuscus","Least Concern"
"54","Aconaemys porteri","Data Deficient"
"55","Aconaemys sagei","Data Deficient"
"56","Acrobates pygmaeus","Least Concern"
"57","Addax nasomaculatus","Regionally Extinct"
"58","Addax nasomaculatus","Critically Endangered"
"59","Aegialomys galapagoensis","Vulnerable"
"60","Aegialomys xanthaeolus","Least Concern"
"61","Aepeomys lugens","Least Concern"
"62","Aepeomys reigi","Vulnerable"
"63","Aepyceros melampus","Least Concern"
"64","Aepyprymnus rufescens","Least Concern"
"65","Aeretes melanopterus","Near Threatened"
"66","Aeromys tephromelas","Data Deficient"
"67","Aeromys thomasi","Least Concern"
"68","Aethalops aequalis","Least Concern"
"69","Aethalops alecto","Least Concern"
"70","Aethomys bocagei","Least Concern"
"71","Aethomys chrysophilus","Least Concern"
"72","Aethomys hindei","Least Concern"
"73","Aethomys ineptus","Least Concern"
"74","Aethomys kaiseri","Least Concern"
"75","Aethomys nyikae","Least Concern"
"76","Aethomys silindensis","Data Deficient"
"77","Aethomys stannarius","Data Deficient"
"78","Aethomys thomasi","Least Concern"
"79","Ailuropoda melanoleuca","Vulnerable"
"80","Ailurops melanotis","Critically Endangered"
"81","Ailurops ursinus","Vulnerable"
"82","Ailurus fulgens","Endangered"
"83","Akodon aerosus","Least Concern"
"84","Akodon affinis","Least Concern"
"85","Akodon albiventer","Least Concern"
"86","Akodon azarae","Least Concern"
"87","Akodon boliviensis","Least Concern"
"88","Akodon budini","Least Concern"
"89","Akodon caenosus","Data Deficient"
"90","Akodon cursor","Least Concern"
"91","Akodon dayi","Least Concern"
"92","Akodon dolores","Least Concern"
"93","Akodon fumeus","Least Concern"
"94","Akodon iniscatus","Least Concern"
"95","Akodon juninensis","Least Concern"
"96","Akodon kofordi","Least Concern"
"97","Akodon lindberghi","Data Deficient"
"98","Akodon lutescens","Least Concern"
"99","Akodon mimus","Least Concern"
"100","Akodon molinae","Least Concern"
"101","Akodon mollis","Least Concern"
"102","Akodon montensis","Least Concern"
"103","Akodon mystax","Data Deficient"
"104","Akodon orophilus","Least Concern"
"105","Akodon paranaensis","Least Concern"
"106","Akodon pervalens","Data Deficient"
"107","Akodon philipmyersi","Data Deficient"
"108","Akodon polopi","Least Concern"
"109","Akodon reigi","Least Concern"
"110","Akodon sanctipaulensis","Data Deficient"
"111","Akodon serrensis","Least Concern"
"112","Akodon siberiae","Near Threatened"
"113","Akodon simulator","Least Concern"
"114","Akodon spegazzinii","Least Concern"
"115","Akodon subfuscus","Least Concern"
"116","Akodon surdus","Vulnerable"
"117","Akodon sylvanus","Least Concern"
"118","Akodon toba","Least Concern"
"119","Akodon torques","Least Concern"
"120","Akodon varius","Data Deficient"
"121","Alcelaphus buselaphus","Regionally Extinct"
"122","Alcelaphus buselaphus","Least Concern"
"123","Alces alces","Least Concern"
"124","Alionycteris paucidentata","Least Concern"
"125","Allactaga balikunica","Least Concern"
"126","Allactaga bullata","Least Concern"
"127","Allactaga elater","Least Concern"
"128","Allactaga euphratica","Near Threatened"
"129","Allactaga euphratica","Least Concern"
"130","Allactaga firouzi","Data Deficient"
"131","Allactaga hotsoni","Least Concern"
"132","Allactaga major","Near Threatened"
"133","Allactaga major","Least Concern"
"134","Allactaga severtzovi","Least Concern"
"135","Allactaga sibirica","Least Concern"
"136","Allactaga tetradactyla","Data Deficient"
"137","Allactaga toussi","Least Concern"
"138","Allactaga vinogradovi","Near Threatened"
"139","Allactaga williamsi","Near Threatened"
"140","Allactaga williamsi","Least Concern"
"141","Allactodipus bobrinskii","Least Concern"
"142","Allenopithecus nigroviridis","Least Concern"
"143","Allocebus trichotis","Endangered"
"144","Allochrocebus lhoesti","Vulnerable"
"145","Allochrocebus preussi","Endangered"
"146","Allochrocebus solatus","Near Threatened"
"147","Allocricetulus curtatus","Least Concern"
"148","Allocricetulus eversmanni","Least Concern"
"149","Allocricetulus eversmanni","Least Concern"
"150","Alouatta arctoidea","Least Concern"
"151","Alouatta belzebul","Vulnerable"
"152","Alouatta caraya","Near Threatened"
"153","Alouatta discolor","Vulnerable"
"154","Alouatta guariba","Vulnerable"
"155","Alouatta juara","Least Concern"
"156","Alouatta macconnelli","Least Concern"
"157","Alouatta nigerrima","Least Concern"
"158","Alouatta palliata","Vulnerable"
"159","Alouatta pigra","Endangered"
"160","Alouatta puruensis","Vulnerable"
"161","Alouatta sara","Least Concern"
"162","Alouatta seniculus","Least Concern"
"163","Alouatta ululata","Endangered"
"164","Alticola albicaudus","Data Deficient"
"165","Alticola argentatus","Least Concern"
"166","Alticola barakshin","Least Concern"
"167","Alticola lemminus","Least Concern"
"168","Alticola macrotis","Least Concern"
"169","Alticola montosa","Vulnerable"
"170","Alticola olchonensis","Endangered"
"171","Alticola roylei","Near Threatened"
"172","Alticola semicanus","Least Concern"
"173","Alticola stoliczkanus","Least Concern"
"174","Alticola strelzowi","Least Concern"
"175","Alticola tuvinicus","Least Concern"
"176","Amblysomus corriae","Near Threatened"
"177","Amblysomus hottentotus","Least Concern"
"178","Amblysomus marleyi","Endangered"
"179","Amblysomus robustus","Vulnerable"
"180","Amblysomus septentrionalis","Near Threatened"
"181","Ametrida centurio","Least Concern"
"182","Ammodillus imbellis","Data Deficient"
"183","Ammodorcas clarkei","Vulnerable"
"184","Ammospermophilus harrisii","Least Concern"
"185","Ammospermophilus interpres","Least Concern"
"186","Ammospermophilus leucurus","Least Concern"
"187","Ammospermophilus nelsoni","Endangered"
"188","Ammotragus lervia","Vulnerable"
"189","Ammotragus lervia","Vulnerable"
"190","Amorphochilus schnablii","Vulnerable"
"191","Amphinectomys savamis","Data Deficient"
"192","Anathana ellioti","Least Concern"
"193","Andalgalomys olrogi","Least Concern"
"194","Andalgalomys pearsoni","Least Concern"
"195","Andinomys edax","Least Concern"
"196","Anisomys imitator","Least Concern"
"197","Anomalurus beecrofti","Least Concern"
"198","Anomalurus derbianus","Least Concern"
"199","Anomalurus pelii","Data Deficient"
"200","Anomalurus pusillus","Least Concern"
"201","Anonymomys mindorensis","Data Deficient"
"202","Anotomys leander","Endangered"
"203","Anoura aequatoris","Least Concern"
"204","Anoura cadenai","Data Deficient"
"205","Anoura caudifer","Least Concern"
"206","Anoura cultrata","Least Concern"
"207","Anoura fistulata","Data Deficient"
"208","Anoura geoffroyi","Least Concern"
"209","Anoura latidens","Least Concern"
"210","Anoura luismanueli","Least Concern"
"211","Anoura peruana","Least Concern"
"212","Anourosorex assamensis","Least Concern"
"213","Anourosorex schmidi","Data Deficient"
"214","Anourosorex squamipes","Least Concern"
"215","Anourosorex yamashinai","Least Concern"
"216","Antechinomys laniger","Least Concern"
"217","Antechinus adustus","Least Concern"
"218","Antechinus agilis","Least Concern"
"219","Antechinus bellus","Vulnerable"
"220","Antechinus flavipes","Least Concern"
"221","Antechinus godmani","Least Concern"
"222","Antechinus leo","Least Concern"
"223","Antechinus minimus","Least Concern"
"224","Antechinus stuartii","Least Concern"
"225","Antechinus subtropicus","Least Concern"
"226","Antechinus swainsonii","Least Concern"
"227","Anthops ornatus","Vulnerable"
"228","Antidorcas marsupialis","Least Concern"
"229","Antilocapra americana","Least Concern"
"230","Antilope cervicapra","Least Concern"
"231","Antrozous pallidus","Least Concern"
"232","Aonyx capensis","Near Threatened"
"233","Aonyx cinereus","Vulnerable"
"234","Aonyx congicus","Near Threatened"
"235","Aotus azarae","Least Concern"
"236","Aotus brumbacki","Vulnerable"
"237","Aotus griseimembra","Vulnerable"
"238","Aotus jorgehernandezi","Data Deficient"
"239","Aotus lemurinus","Vulnerable"
"240","Aotus miconax","Endangered"
"241","Aotus nancymaae","Vulnerable"
"242","Aotus nigriceps","Least Concern"
"243","Aotus trivirgatus","Least Concern"
"244","Aotus vociferans","Least Concern"
"245","Aotus zonalis","Data Deficient"
"246","Aplodontia rufa","Least Concern"
"247","Apodemus agrarius","Least Concern"
"248","Apodemus agrarius","Least Concern"
"249","Apodemus agrarius","Least Concern"
"250","Apodemus alpicola","Least Concern"
"251","Apodemus alpicola","Least Concern"
"252","Apodemus argenteus","Least Concern"
"253","Apodemus avicennicus","Data Deficient"
"254","Apodemus chevrieri","Least Concern"
"255","Apodemus draco","Least Concern"
"256","Apodemus epimelas","Least Concern"
"257","Apodemus flavicollis","Least Concern"
"258","Apodemus flavicollis","Least Concern"
