"","species"
"1","Abditomys latidens"
"2","Abrawayaomys chebezi"
"3","Abrawayaomys ruschii"
"4","Abrocoma boliviensis"
"5","Abrocoma budini"
"6","Abrocoma cinerea"
"7","Abrocoma famatina"
"8","Abrocoma shistacea"
"9","Abrocoma uspallata"
"10","Abrocoma vaccarum"
"11","Abrothrix hershkovitzi"
"12","Abrothrix illuteus"
"13","Abrothrix lanosus"
"14","Abrothrix manni"
"15","Abrothrix markhami"
"16","Abrothrix sanborni"
"17","Acerodon celebensis"
"18","Acerodon humilis"
"19","Acerodon jubatus"
"20","Acerodon leucotis"
"21","Acerodon mackloti"
"22","Acinonyx jubatus"
"23","Acinonyx pardinensis"
"24","Acomys airensis"
"25","Acomys cahirinus"
"26","Acomys chudeaui"
"27","Acomys cilicicus"
"28","Acomys cineraceus"
"29","Acomys dimidiatus"
"30","Acomys ignitus"
"31","Acomys johannis"
"32","Acomys kempi"
"33","Acomys louisae"
"34","Acomys minous"
"35","Acomys mullah"
"36","Acomys muzei"
"37","Acomys nesiotes"
"38","Acomys ngurui"
"39","Acomys percivali"
"40","Acomys selousi"
"41","Acomys seurati"
"42","Acomys spinosissimus"
"43","Acomys subspinosus"
"44","Acomys whitei"
"45","Acomys wilsoni"
"46","Aconaemys fuscus"
"47","Aconaemys porteri"
"48","Aconaemys sagei"
"49","Acrobates pulchellus"
"50","Acrobates pygmaeus"
"51","Adaetontherium incognitum"
"52","Addax nasomaculatus"
"53","Aegialomys galapagoensis"
"54","Aegialomys xanthaeolus"
"55","Aegyptopithecus zeuxis"
"56","Aelurocyon spissidens"
"57","Aelurodon asthenostylus"
"58","Aelurodon brachygnathus"
"59","Aelurodon compressus"
"60","Aelurodon ferox"
"61","Aelurodon francisci"
"62","Aelurodon mcgrewi"
"63","Aelurodon taxoides"
"64","Aeolopithecus chirobates"
"65","Aeorestes egregius"
"66","Aeorestes semotus"
"67","Aeorestes villosissimus"
"68","Aepeomys lugens"
"69","Aepeomys reigi"
"70","Aepyprymnus rufescens"
"71","Aeretes melanopterus"
"72","Aeromys tephromelas"
"73","Aeromys thomasi"
"74","Aethalops aequalis"
"75","Aethalops alecto"
"76","Aethomys bocagei"
"77","Aethomys chrysophilus"
"78","Aethomys hindei"
"79","Aethomys ineptus"
"80","Aethomys kaiseri"
"81","Aethomys nyikae"
"82","Aethomys silindensis"
"83","Aethomys stannarius"
"84","Aethomys thomasi"
"85","Aetiocetus cotylalveus"
"86","Aetiocetus polydentatus"
"87","Aetiocetus weltoni"
"88","Afrochoerus nicoli"
"89","Aglaocetus patulus"
"90","Ailurops furvus"
"91","Ailurops melanotis"
"92","Ailurops ursinus"
"93","Ailurus ochraceus"
"94","Akodon aerosus"
"95","Akodon affinis"
"96","Akodon albiventer"
"97","Akodon arviculoides"
"98","Akodon baliolus"
"99","Akodon boliviensis"
"100","Akodon budini"
"101","Akodon caenosus"
"102","Akodon cursor"
"103","Akodon dayi"
"104","Akodon dolores"
"105","Akodon fumeus"
"106","Akodon glaucinus"
"107","Akodon josemariarguedasi"
"108","Akodon juninensis"
"109","Akodon kofordi"
"110","Akodon kotosh"
"111","Akodon latebricola"
"112","Akodon lindberghi"
"113","Akodon mimus"
"114","Akodon molinae"
"115","Akodon montensis"
"116","Akodon mystax"
"117","Akodon neocenus"
"118","Akodon orophilus"
"119","Akodon paranaensis"
"120","Akodon pervalens"
"121","Akodon philipmyersi"
"122","Akodon polopi"
"123","Akodon reigi"
"124","Akodon sanctipaulensis"
"125","Akodon serrensis"
"126","Akodon siberiae"
"127","Akodon simulator"
"128","Akodon surdus"
"129","Akodon sylvanus"
"130","Akodon tartareus"
"131","Akodon toba"
"132","Akodon torques"
"133","Akodon urichi"
"134","Akodon varius"
"135","Akodon viridescens"
"136","Alcelaphus bakeri"
"137","Alcelaphus caama"
"138","Alcelaphus howardi"
"139","Alcelaphus kattwinkeli"
"140","Alcelaphus lichtensteini"
"141","Alcelaphus tora"
"142","Alces americanus"
"143","Alces bedfordiae"
"144","Aletocyon multicuspus"
"145","Alexandromys mongolicus"
"146","Alexandromys mujanensis"
"147","Alionycteris paucidentata"
"148","Allactaga balikunica"
"149","Allactaga bullata"
"150","Allactaga euphratica"
"151","Allactaga firouzi"
"152","Allactaga hotsoni"
"153","Allactaga major"
"154","Allactaga severtzovi"
"155","Allactaga sibirica"
"156","Allactaga toussi"
"157","Allactaga vinogradovi"
"158","Allactaga williamsi"
