"","synonyms"
"1","Akodon hershkovitzi"
"2","Abrothrix illutea"
"3","Akodon illuteus"
"4","Abrothrix lanosa"
"5","Akodon lanosus"
"6","Oxymycterus lanosus"
"7","? lanosus"
"8","Abrothrix GDE-2015"
"9","Abrothrix olivaceus markhami"
"10","Akodon markhami"
"11","Akodon sanborni"
"12","Pteropus celebensis"
"13","Pteropus mackloti"
"14","Cynaelurus jubatus"
"15","Felis jubata"
"16","Acinonyx rex"
"17","Acomys albigena"
"18","Acomys cahirinus helmyi"
"19","Acomys sabryi"
"20","Acomys hunteri"
"21","Acomys dimidiatus megalodus"
"22","Acomys viator"
"23","Acomys cineraseus"
"24","Acomys cinerascens"
"25","Acomys hystrella"
"26","Acomys witherbyi"
"27","Acomys dimidiatus homericus"
"28","Acomys flavidus"
"29","Mus megalotis"
"30","Mus hispidus"
"31","Acomys ignitus montanus"
"32","Acomys sp. EV-2011b"
"33","Acomys sp. EV-2011a"
"34","Acomys transvaalensis"
"35","Acomys ablutus"
"36","Didelphys pygmaea"
"37","Didelphis pygmaea"
"38","Dromicia frontalis"
"39","Acrobates pulchellus"
"40","Oryzomys galapogoensis"
"41","Oryzomys galapagoensis"
"42","? galapagoensis"
"43","Oryzomys xanthaeolus"
"44","Oryzomys xantheolus"
"45","Euoplocyon spissidens"
"46","Enhydrocyon spissidens"
"47","Euoplocyon praedator"
"48","Euoplocyon brachygnathus"
"49","Cynodesmus cuspidatus"
"50","Carpocyon compressus"
"51","Tomarctus cuspidatus"
"52","Tomarctus compressus"
"53","Carpocyon cuspidatus"
"54","Tephrocyon marshi"
"55","Aelurodon platyrhinus"
"56","Aelurodon marshi"
"57","Tomarctus propter"
"58","Euoplocyon magnus"
"59","Propliopithecus chirobates"
"60","Lasiurus egregius"
"61","Atalapha egregia"
"62","Aeorestes cinereus semotus"
"63","Lasiurus cinereus semotus"
"64","Aeorestes cinereus villosissimus"
"65","Lasiurus cinereus villosissimus"
"66","Bettongia rufescens"
"67","Hypsiprymnus melanotis"
"68","Aethomys chrysophilus imago"
"69","Mus chrysophilus acticola"
"70","Mus voi"
"71","Epimys kaiseri centralis"
"72","Rattus helleri"
"73","Mus norae"
"74","Mus medicatus"
"75","Mus chrysophilus pretoriae"
"76","Mus chrysophilus tzaneenensis"
"77","Aethomys chrysophilus magalakuini"
"78","Aethomys chrysophilus tongensis"
"79","Aethomys chrysophilus harei"
"80","Aethomys chrysophilus capricornis"
"81","Aethomys chrysophilus fouriei"
"82","Epimys kaiseri turneri"
"83","Mus walambae"
"84","Mus manteufeli"
"85","Phalanger melanotis"
"86","Akodon aerosus baliolus"
"87","Hypsimys budini"
"88","Akodon lutescens caenosus"
"89","Akodon aliquantulus"
"90","Akodon simulator glaucinus"
"91","Neomicroxus latebricola"
"92","? latebricola"
"93","Microxus mimus"
"94","Akodon paranensis"
"95","Akodon simulator tartareus"
"96","Akodon sp. BSC-2010a"
"97","Alcelaphus buselaphus caama"
"98","Megalotragus kattwinkeli"
"99","Alcelaphus buselaphus lichtenseini"
"100","Alcelaphus buselaphus lichtensteini"
"101","Sigmoceros lichtensteinii"
"102","Alcelaphus lichtensteinii"
"103","? lichtensteinii"
"104","Alces alces americana"
"105","Cervus americanus"
"106","Phlaocyon multicuspus"
"107","Microtus mongolicus"
"108","Microtus xerophilus"
"109","Microtus arvalis baicalensis"
"110","Microtus poljakovi"
"111","Allactaga (Orientallactaga) bullata"
"112","Allactaga euphratica kivanci"
"113","Allactaga firouzi"
"114","Dipus decumanus"
"115","Allactaga jaculus fuscus"
"116","Allactaga jaculus macrotis"
"117","Allactaga saliens chachlovi"
"118","Allactaga major djetysuensis"
"119","Allactaga saliens hochlovi"
"120","Mus jaculus"
"121","Allactaga jaculus brachyotis"
"122","Allactaga jaculus intermedius"
"123","Dipus major"
"124","Dipus vexillarius"
"125","Dipus aulacotis"
"126","Dipus spiculum"
"127","Allactaga severtzovi chorezmi"
"128","Allactaga sibirica bulganensis"
"129","Allactaga sibirica ognevi"
"130","Dipus jaculus mongolica"
"131","Mus jaculus media"
"132","Allactaga sibirica altorum"
"133","Dipus brachyurus"
"134","Allactaga saltator dementiewi"
"135","Allactaga sibirica semideserta"
"136","Dipus alactaga"
"137","Dipus saltator"
"138","Allactaga grisescens"
"139","Dipus halticus"
"140","Allactaga mongolica longior"
"141","Allactaga suschkini"
"142","Dipus annulatus"
"143","Allactaga ruckbeili"
"144","Mus saliens"
"145","Allactaga williamsi caprimulga"
"146","Allactaga williamsi schmidti"
"147","Allactaga williamsi laticeps"
"148","Cercopithecus nigroviridis"
