"","species","genus_species","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory1","redlistCategory2","redlistCategory3","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"1","Abditomys latidens","Abditomys latidens","Muridae","Rodentia",269,1,"Yes",16.85,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abeomelomys sevia","Abeomelomys sevia","Muridae","Rodentia",54.88,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abrawayaomys chebezi","Abrawayaomys chebezi","Cricetidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abrawayaomys ruschii","Abrawayaomys ruschii","Cricetidae","Rodentia",63,1,"Yes",-24.482282,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Abrocoma bennettii","Abrocoma bennettii","Abrocomidae","Rodentia",250.5,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Abrocoma boliviensis","Abrocoma boliviensis","Abrocomidae","Rodentia",158,1,"Yes",-17.9,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abrocoma budini","Abrocoma budini","Abrocomidae",NA,214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Abrocoma cinerea","Abrocoma cinerea","Abrocomidae","Rodentia",250,1,"Yes",-22.11667,"Least Concern",NA,NA,"wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Abrocoma famatina","Abrocoma famatina","Abrocomidae","Rodentia",214.69,0,"Yes",-28.731926,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abrocoma shistacea","Abrocoma shistacea","Abrocomidae",NA,214.69,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Abrocoma uspallata","Abrocoma uspallata","Abrocomidae",NA,214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abrocoma vaccarum","Abrocoma vaccarum","Abrocomidae",NA,214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Abrothrix andinus","Abrothrix andinus","Cricetidae","Rodentia",24.91,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abrothrix hershkovitzi","Abrothrix hershkovitzi","Cricetidae","Rodentia",32.42,2,"Yes",-54.112778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Abrothrix illutea","Abrothrix illuteus",NA,"Rodentia",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Abrothrix illuteus","Abrothrix illuteus","Cricetidae","Rodentia",47.79,1,"Yes",-26.799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Abrothrix jelskii","Abrothrix jelskii","Cricetidae","Rodentia",34.5,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Abrothrix lanosus","Abrothrix lanosus","Cricetidae","Rodentia",27.83,1,"Yes",-53.150001,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Abrothrix longipilis","Abrothrix longipilis","Cricetidae","Rodentia",38.86,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Abrothrix manni","Abrothrix manni",NA,"Rodentia",NA,NA,"Yes",-41.066666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Abrothrix markhami","Abrothrix markhami","Cricetidae","Rodentia",29.03,2,"Yes",-49.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Abrothrix olivaceus","Abrothrix olivaceus","Cricetidae","Rodentia",24.52,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Abrothrix sanborni","Abrothrix sanborni","Cricetidae","Rodentia",24.7,1,"Yes",-43.116665,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Acerodon celebensis","Acerodon celebensis","Pteropodidae","Chiroptera",390,1,"Yes",-1.133333,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Acerodon humilis","Acerodon humilis","Pteropodidae","Chiroptera",462.47,2,"Yes",4.01,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Acerodon jubatus","Acerodon jubatus","Pteropodidae","Chiroptera",1075,1,"Yes",9.4166,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Acerodon leucotis","Acerodon leucotis","Pteropodidae","Chiroptera",462.47,2,"Yes",9.73,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
