"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade"
"1","Abditomys latidens",3610454,"Muridae","Rodentia",269,1,"Yes",16.85,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,17,"Wild","","Euarchontoglires"
"2","Abrawayaomys chebezi",5852622,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"3","Abrawayaomys ruschii",3611096,"Cricetidae","Rodentia",63,1,"Yes",-24.482282,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.9999999999996,-25.0040698859438,"Wild","","Euarchontoglires"
"4","Abrocoma boliviensis",3609753,"Abrocomidae","Rodentia",158,1,"Yes",-17.9,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65,-17,"Wild","","Euarchontoglires"
"5","Abrocoma budini",3609757,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"6","Abrocoma cinerea",906641,"Abrocomidae","Rodentia",250,1,"Yes",-22.11667,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.2802774508361,-18.4910936027511,"Wild","","Euarchontoglires"
"7","Abrocoma famatina",3609754,"Abrocomidae","Rodentia",214.69,0,"Yes",-28.731926,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67,-29,"Wild","","Euarchontoglires"
"8","Abrocoma shistacea",3609758,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"9","Abrocoma uspallata",3609756,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"10","Abrocoma vaccarum",3609752,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
