"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"1","Abditomys latidens",3610454,"Muridae","Rodentia",269,1,"Yes",16.85,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,17,"Wild","","Euarchontoglires","latidens","Abditomys",0,0,0,0,0,NA,0,0,0,0,0,2.42975228000241,NA,0,3,0,0,0,0,0
"2","Abrawayaomys chebezi",5852622,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","chebezi","Abrawayaomys",2,11,2,2,0,6,2,0.333,0,1,0.477121254719662,NA,NA,0,3,0,0,0,0,0
"3","Abrawayaomys ruschii",3611096,"Cricetidae","Rodentia",63,1,"Yes",-24.482282,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.9999999999996,-25.0040698859438,"Wild","","Euarchontoglires","ruschii","Abrawayaomys",8,62,6,8,0,13,6,0.462,2,3,0.845098040014257,1.79934054945358,1,0,3,0,0,1,0.301029995663981,0
"4","Abrocoma boliviensis",3609753,"Abrocomidae","Rodentia",158,1,"Yes",-17.9,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65,-17,"Wild","","Euarchontoglires","boliviensis","Abrocoma",3,26,3,3,0,19,2,0.105,1,0,0.477121254719662,2.19865708695442,4,0,3,0,0,0,0,0
"5","Abrocoma budini",3609757,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","budini","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0,2.33181181599674,NA,0,3,0,0,0,0,0
"6","Abrocoma cinerea",906641,"Abrocomidae","Rodentia",250,1,"Yes",-22.11667,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.2802774508361,-18.4910936027511,"Wild","","Euarchontoglires","cinerea","Abrocoma",10,175,9,10,0,22,8,0.364,5,0,0.954242509439325,2.39794000867204,1,1,3,0,0,0,0,0
"7","Abrocoma famatina",3609754,"Abrocomidae","Rodentia",214.69,0,"Yes",-28.731926,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67,-29,"Wild","","Euarchontoglires","famatina","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0,2.33181181599674,NA,0,3,0,0,0,0,0
"8","Abrocoma shistacea",3609758,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","shistacea","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0,2.33181181599674,1,0,3,0,0,0,0,0
"9","Abrocoma uspallata",3609756,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","uspallata","Abrocoma",1,7,1,1,0,16,1,0.062,0,0,0.301029995663981,2.33181181599674,NA,0,3,0,0,0,0,0
"10","Abrocoma vaccarum",3609752,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires","vaccarum","Abrocoma",1,14,1,1,0,25,1,0.04,1,0,0.301029995663981,2.33181181599674,NA,0,3,0,0,0,0,0
