"","genus_species","species","genus","publications","citations","journals","years_publishing","h","m","i10","h5"
"1","Abditomys_latidens","latidens","Abditomys",0,0,0,NA,0,0,0,0
"2","Abeomelomys_sevia","sevia","Abeomelomys",3,32,3,26,3,0.115,1,0
"3","Abrawayaomys_chebezi","chebezi","Abrawayaomys",2,11,2,6,2,0.333,0,1
"4","Abrawayaomys_ruschii","ruschii","Abrawayaomys",8,65,6,13,6,0.462,2,3
"5","Abrocoma_bennettii","bennettii","Abrocoma",10,237,8,29,6,0.207,5,2
"6","Abrocoma_boliviensis","boliviensis","Abrocoma",3,27,3,19,2,0.105,1,0
"7","Abrocoma_budini","budini","Abrocoma",0,0,0,NA,0,0,0,0
"8","Abrocoma_cinerea","cinerea","Abrocoma",10,178,9,22,8,0.364,5,0
"9","Abrocoma_famatina","famatina","Abrocoma",0,0,0,NA,0,0,0,0
"10","Abrocoma_shistacea","shistacea","Abrocoma",0,0,0,NA,0,0,0,0
"11","Abrocoma_uspallata","uspallata","Abrocoma",1,7,1,16,1,0.062,0,0
"12","Abrocoma_vaccarum","vaccarum","Abrocoma",1,14,1,25,1,0.04,1,0
"13","Abrothrix_andinus","andinus","Abrothrix",15,716,13,58,9,0.155,9,0
"14","Abrothrix_hershkovitzi","hershkovitzi","Abrothrix",0,0,0,NA,0,0,0,0
"15","Abrothrix_illutea","illutea","Abrothrix",4,19,4,45,3,0.067,0,2
"16","Abrothrix_jelskii","jelskii","Abrothrix",4,37,4,28,3,0.107,1,0
"17","Abrothrix_lanosus","lanosus","Abrothrix",3,24,3,11,2,0.182,1,0
"18","Abrothrix_longipilis","longipilis","Abrothrix",74,1521,46,58,22,0.379,42,3
"19","Abrothrix_manni","manni","Abrothrix",2,2,2,3,1,0.333,0,1
"20","Abrothrix_markhami","markhami","Abrothrix",1,13,1,13,1,0.077,1,0
"21","Abrothrix_olivaceus","olivaceus","Abrothrix",61,1159,38,34,19,0.559,32,5
"22","Abrothrix_sanborni","sanborni","Abrothrix",9,260,4,33,7,0.212,7,1
"23","Acerodon_celebensis","celebensis","Acerodon",4,61,4,13,3,0.231,2,1
"24","Acerodon_humilis","humilis","Acerodon",1,28,1,19,1,0.053,1,0
"25","Acerodon_jubatus","jubatus","Acerodon",6,144,6,16,5,0.312,5,1
"26","Acerodon_leucotis","leucotis","Acerodon",1,75,1,17,1,0.059,1,0
"27","Acerodon_mackloti","mackloti","Acerodon",1,17,1,31,1,0.032,1,0
"28","Acinonyx_jubatus","jubatus","Acinonyx",810,20885,291,59,71,1.203,425,16
"29","Acinonyx_pardinensis","pardinensis","Acinonyx",14,214,12,26,10,0.385,10,0
"30","Acomys_airensis","airensis","Acomys",4,105,3,46,3,0.065,3,0
"31","Acomys_cahirinus","cahirinus","Acomys",439,6695,227,116,41,0.353,204,9
"32","Acomys_chudeaui","chudeaui","Acomys",1,32,1,12,1,0.083,1,0
"33","Acomys_cilicicus","cilicicus","Acomys",13,95,9,26,6,0.231,4,1
"34","Acomys_cineraceus","cineraceus","Acomys",2,21,2,22,2,0.091,1,0
"35","Acomys_dimidiatus","dimidiatus","Acomys",49,399,36,33,12,0.364,16,3
"36","Acomys_ignitus","ignitus","Acomys",1,19,1,20,1,0.05,1,0
"37","Acomys_johannis","johannis","Acomys",3,45,3,25,3,0.12,2,0
"38","Acomys_kempi","kempi","Acomys",1,60,1,5,1,0.2,1,0
"39","Acomys_louisae","louisae","Acomys",1,1,1,1,1,1,0,1
"40","Acomys_minous","minous","Acomys",7,92,6,58,5,0.086,3,1
"41","Acomys_mullah","mullah","Acomys",0,0,0,NA,0,0,0,0
"42","Acomys_muzei","muzei","Acomys",1,12,1,10,1,0.1,1,0
"43","Acomys_nesiotes","nesiotes","Acomys",5,33,4,22,3,0.136,1,1
