"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"1","Abditomys_latidens","latidens","Abditomys",0,0,0,0,0,NA,0,0,0,0
"2","Abrawayaomys_chebezi","chebezi","Abrawayaomys",0,0,0,0,0,NA,0,0,0,0
"3","Abrawayaomys_ruschii","ruschii","Abrawayaomys",1,12,1,1,0,10,1,0.1,1,0
"4","Abrocoma_boliviensis","boliviensis","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"5","Abrocoma_budini","budini","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"6","Abrocoma_cinerea","cinerea","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"7","Abrocoma_famatina","famatina","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"8","Abrocoma_shistacea","shistacea","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"9","Abrocoma_uspallata","uspallata","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"10","Abrocoma_vaccarum","vaccarum","Abrocoma",0,0,0,0,0,NA,0,0,0,0
"11","Abrothrix_hershkovitzi","hershkovitzi","Abrothrix",0,0,0,0,0,NA,0,0,0,0
"12","Abrothrix_illuteus","illuteus","Abrothrix",0,0,0,0,0,NA,0,0,0,0
"13","Abrothrix_lanosus","lanosus","Abrothrix",0,0,0,0,0,NA,0,0,0,0
"14","Abrothrix_manni","manni","Abrothrix",0,0,0,0,0,NA,0,0,0,0
"15","Abrothrix_markhami","markhami","Abrothrix",0,0,0,0,0,NA,0,0,0,0
"16","Abrothrix_sanborni","sanborni","Abrothrix",1,17,1,1,0,6,1,0.167,1,0
"17","Acerodon_celebensis","celebensis","Acerodon",2,5,2,1,0,2,1,0.5,0,1
"18","Acerodon_humilis","humilis","Acerodon",1,28,1,1,0,19,1,0.053,1,0
"19","Acerodon_jubatus","jubatus","Acerodon",2,49,2,2,0,16,2,0.125,2,0
"20","Acerodon_leucotis","leucotis","Acerodon",0,0,0,0,0,NA,0,0,0,0
"21","Acerodon_mackloti","mackloti","Acerodon",0,0,0,0,0,NA,0,0,0,0
"22","Acinonyx_jubatus","jubatus","Acinonyx",234,6285,111,194,13,42,42,1,126,13
"23","Acinonyx_pardinensis","pardinensis","Acinonyx",0,0,0,0,0,NA,0,0,0,0
"24","Acomys_airensis","airensis","Acomys",1,55,1,1,0,38,1,0.026,1,0
"25","Acomys_cahirinus","cahirinus","Acomys",14,331,12,14,0,35,10,0.286,10,0
"26","Acomys_chudeaui","chudeaui","Acomys",0,0,0,0,0,NA,0,0,0,0
"27","Acomys_cilicicus","cilicicus","Acomys",1,3,1,1,0,4,1,0.25,0,1
"28","Acomys_cineraceus","cineraceus","Acomys",1,14,1,1,0,22,1,0.045,1,0
"29","Acomys_dimidiatus","dimidiatus","Acomys",3,23,2,3,0,22,3,0.136,1,0
"30","Acomys_ignitus","ignitus","Acomys",0,0,0,0,0,NA,0,0,0,0
"31","Acomys_johannis","johannis","Acomys",0,0,0,0,0,NA,0,0,0,0
"32","Acomys_kempi","kempi","Acomys",0,0,0,0,0,NA,0,0,0,0
"33","Acomys_louisae","louisae","Acomys",0,0,0,0,0,NA,0,0,0,0
"34","Acomys_minous","minous","Acomys",0,0,0,0,0,NA,0,0,0,0
"35","Acomys_mullah","mullah","Acomys",0,0,0,0,0,NA,0,0,0,0
"36","Acomys_muzei","muzei","Acomys",0,0,0,0,0,NA,0,0,0,0
"37","Acomys_nesiotes","nesiotes","Acomys",0,0,0,0,0,NA,0,0,0,0
"38","Acomys_ngurui","ngurui","Acomys",0,0,0,0,0,NA,0,0,0,0
"39","Acomys_percivali","percivali","Acomys",0,0,0,0,0,NA,0,0,0,0
"40","Acomys_selousi","selousi","Acomys",0,0,0,0,0,NA,0,0,0,0
"41","Acomys_seurati","seurati","Acomys",0,0,0,0,0,NA,0,0,0,0
"42","Acomys_spinosissimus","spinosissimus","Acomys",0,0,0,0,0,NA,0,0,0,0
"43","Acomys_subspinosus","subspinosus","Acomys",1,2,1,1,0,1,1,1,0,1
"44","Acomys_whitei","whitei","Acomys",0,0,0,0,0,NA,0,0,0,0
"45","Acomys_wilsoni","wilsoni","Acomys",0,0,0,0,0,NA,0,0,0,0
"46","Aconaemys_fuscus","fuscus","Aconaemys",0,0,0,0,0,NA,0,0,0,0
"47","Aconaemys_porteri","porteri","Aconaemys",0,0,0,0,0,NA,0,0,0,0
"48","Aconaemys_sagei","sagei","Aconaemys",0,0,0,0,0,NA,0,0,0,0
"49","Acrobates_pulchellus","pulchellus","Acrobates",0,0,0,0,0,NA,0,0,0,0
"50","Acrobates_pygmaeus","pygmaeus","Acrobates",3,185,3,2,1,28,3,0.107,3,0
"51","Adaetontherium_incognitum","incognitum","Adaetontherium",0,0,0,0,0,NA,0,0,0,0
"52","Addax_nasomaculatus","nasomaculatus","Addax",22,202,17,21,0,44,7,0.159,5,3
"53","Aegialomys_galapagoensis","galapagoensis","Aegialomys",2,1,2,2,0,2,1,0.5,0,1
"54","Aegialomys_xanthaeolus","xanthaeolus","Aegialomys",0,0,0,0,0,NA,0,0,0,0
"55","Aelurodon_francisci","francisci","Aelurodon",0,0,0,0,0,NA,0,0,0,0
"56","Aeorestes_egregius","egregius","Aeorestes",1,1,1,1,0,2,1,0.5,0,1
"57","Aeorestes_semotus","semotus","Aeorestes",0,0,0,0,0,NA,0,0,0,0
"58","Aeorestes_villosissimus","villosissimus","Aeorestes",0,0,0,0,0,NA,0,0,0,0
"59","Aepeomys_lugens","lugens","Aepeomys",0,0,0,0,0,NA,0,0,0,0
"60","Aepeomys_reigi","reigi","Aepeomys",0,0,0,0,0,NA,0,0,0,0
"61","Aepyprymnus_rufescens","rufescens","Aepyprymnus",6,648,6,6,0,28,4,0.143,4,2
"62","Aeretes_melanopterus","melanopterus","Aeretes",0,0,0,0,0,NA,0,0,0,0
"63","Aeromys_tephromelas","tephromelas","Aeromys",0,0,0,0,0,NA,0,0,0,0
"64","Aeromys_thomasi","thomasi","Aeromys",0,0,0,0,0,NA,0,0,0,0
"65","Aethalops_aequalis","aequalis","Aethalops",0,0,0,0,0,NA,0,0,0,0
"66","Aethalops_alecto","alecto","Aethalops",0,0,0,0,0,NA,0,0,0,0
"67","Aethomys_bocagei","bocagei","Aethomys",0,0,0,0,0,NA,0,0,0,0
"68","Aethomys_chrysophilus","chrysophilus","Aethomys",2,11,2,2,0,20,2,0.1,0,0
"69","Aethomys_hindei","hindei","Aethomys",0,0,0,0,0,NA,0,0,0,0
"70","Aethomys_ineptus","ineptus","Aethomys",0,0,0,0,0,NA,0,0,0,0
"71","Aethomys_kaiseri","kaiseri","Aethomys",0,0,0,0,0,NA,0,0,0,0
"72","Aethomys_nyikae","nyikae","Aethomys",0,0,0,0,0,NA,0,0,0,0
"73","Aethomys_silindensis","silindensis","Aethomys",0,0,0,0,0,NA,0,0,0,0
"74","Aethomys_stannarius","stannarius","Aethomys",0,0,0,0,0,NA,0,0,0,0
"75","Aethomys_thomasi","thomasi","Aethomys",0,0,0,0,0,NA,0,0,0,0
"76","Afrochoerus_nicoli","nicoli","Afrochoerus",0,0,0,0,0,NA,0,0,0,0
"77","Ailurops_furvus","furvus","Ailurops",0,0,0,0,0,NA,0,0,0,0
"78","Ailurops_melanotis","melanotis","Ailurops",2,3,1,2,0,2,1,0.5,0,1
"79","Ailurops_ursinus","ursinus","Ailurops",1,28,1,1,0,19,1,0.053,1,0
"80","Ailurus_ochraceus","ochraceus","Ailurus",0,0,0,0,0,NA,0,0,0,0
"81","Akodon_aerosus","aerosus","Akodon",0,0,0,0,0,NA,0,0,0,0
"82","Akodon_affinis","affinis","Akodon",1,1,1,1,0,4,1,0.25,0,1
"83","Akodon_albiventer","albiventer","Akodon",0,0,0,0,0,NA,0,0,0,0
"84","Akodon_arviculoides","arviculoides","Akodon",0,0,0,0,0,NA,0,0,0,0
"85","Akodon_baliolus","baliolus","Akodon",1,14,1,1,0,10,1,0.1,1,0
"86","Akodon_boliviensis","boliviensis","Akodon",1,19,1,1,0,20,1,0.05,1,0
"87","Akodon_budini","budini","Akodon",0,0,0,0,0,NA,0,0,0,0
"88","Akodon_caenosus","caenosus","Akodon",0,0,0,0,0,NA,0,0,0,0
"89","Akodon_cursor","cursor","Akodon",14,218,10,14,0,24,9,0.375,8,2
"90","Akodon_dayi","dayi","Akodon",0,0,0,0,0,NA,0,0,0,0
"91","Akodon_dolores","dolores","Akodon",0,0,0,0,0,NA,0,0,0,0
"92","Akodon_fumeus","fumeus","Akodon",0,0,0,0,0,NA,0,0,0,0
"93","Akodon_glaucinus","glaucinus","Akodon",0,0,0,0,0,NA,0,0,0,0
"94","Akodon_josemariarguedasi","josemariarguedasi","Akodon",0,0,0,0,0,NA,0,0,0,0
"95","Akodon_juninensis","juninensis","Akodon",0,0,0,0,0,NA,0,0,0,0
"96","Akodon_kofordi","kofordi","Akodon",0,0,0,0,0,NA,0,0,0,0
"97","Akodon_kotosh","kotosh","Akodon",0,0,0,0,0,NA,0,0,0,0
"98","Akodon_latebricola","latebricola","Akodon",0,0,0,0,0,NA,0,0,0,0
"99","Akodon_lindberghi","lindberghi","Akodon",2,33,2,2,0,16,1,0.062,1,0
"100","Akodon_mimus","mimus","Akodon",0,0,0,0,0,NA,0,0,0,0
"101","Akodon_molinae","molinae","Akodon",0,0,0,0,0,NA,0,0,0,0
"102","Akodon_montensis","montensis","Akodon",13,227,10,13,0,23,10,0.435,10,2
"103","Akodon_mystax","mystax","Akodon",0,0,0,0,0,NA,0,0,0,0
"104","Akodon_neocenus","neocenus","Akodon",0,0,0,0,0,NA,0,0,0,0
"105","Akodon_orophilus","orophilus","Akodon",0,0,0,0,0,NA,0,0,0,0
"106","Akodon_paranaensis","paranaensis","Akodon",2,63,2,2,0,18,2,0.111,2,0
"107","Akodon_pervalens","pervalens","Akodon",0,0,0,0,0,NA,0,0,0,0
"108","Akodon_philipmyersi","philipmyersi","Akodon",0,0,0,0,0,NA,0,0,0,0
"109","Akodon_polopi","polopi","Akodon",0,0,0,0,0,NA,0,0,0,0
"110","Akodon_reigi","reigi","Akodon",0,0,0,0,0,NA,0,0,0,0
"111","Akodon_sanctipaulensis","sanctipaulensis","Akodon",0,0,0,0,0,NA,0,0,0,0
"112","Akodon_serrensis","serrensis","Akodon",3,56,3,3,0,18,3,0.167,2,0
"113","Akodon_siberiae","siberiae","Akodon",0,0,0,0,0,NA,0,0,0,0
"114","Akodon_simulator","simulator","Akodon",1,18,1,1,0,11,1,0.091,1,0
"115","Akodon_surdus","surdus","Akodon",0,0,0,0,0,NA,0,0,0,0
"116","Akodon_sylvanus","sylvanus","Akodon",0,0,0,0,0,NA,0,0,0,0
"117","Akodon_tartareus","tartareus","Akodon",0,0,0,0,0,NA,0,0,0,0
"118","Akodon_toba","toba","Akodon",1,2,1,1,0,2,1,0.5,0,1
"119","Akodon_torques","torques","Akodon",0,0,0,0,0,NA,0,0,0,0
"120","Akodon_urichi","urichi","Akodon",0,0,0,0,0,NA,0,0,0,0
"121","Akodon_varius","varius","Akodon",0,0,0,0,0,NA,0,0,0,0
"122","Akodon_viridescens","viridescens","Akodon",0,0,0,0,0,NA,0,0,0,0
"123","Alcelaphus_bakeri","bakeri","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"124","Alcelaphus_caama","caama","Alcelaphus",1,9,1,1,0,11,1,0.091,0,0
"125","Alcelaphus_howardi","howardi","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"126","Alcelaphus_kattwinkeli","kattwinkeli","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"127","Alcelaphus_lichtensteini","lichtensteini","Alcelaphus",1,4,1,1,0,23,1,0.043,0,0
"128","Alcelaphus_tora","tora","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"129","Alces_alces","alces","Alces",164,4623,89,147,10,35,36,1.029,103,10
"130","Alces_americanus","americanus","Alces",6,63,6,5,1,19,5,0.263,3,2
"131","Alces_bedfordiae","bedfordiae","Alces",0,0,0,0,0,NA,0,0,0,0
"132","Alexandromys_mongolicus","mongolicus","Alexandromys",0,0,0,0,0,NA,0,0,0,0
"133","Alexandromys_mujanensis","mujanensis","Alexandromys",0,0,0,0,0,NA,0,0,0,0
"134","Alionycteris_paucidentata","paucidentata","Alionycteris",0,0,0,0,0,NA,0,0,0,0
"135","Allactaga_balikunica","balikunica","Allactaga",0,0,0,0,0,NA,0,0,0,0
"136","Allactaga_bullata","bullata","Allactaga",0,0,0,0,0,NA,0,0,0,0
"137","Allactaga_euphratica","euphratica","Allactaga",1,2,1,0,1,3,1,0.333,0,1
"138","Allactaga_firouzi","firouzi","Allactaga",1,9,1,1,0,12,1,0.083,0,0
"139","Allactaga_hotsoni","hotsoni","Allactaga",0,0,0,0,0,NA,0,0,0,0
"140","Allactaga_major","major","Allactaga",0,0,0,0,0,NA,0,0,0,0
"141","Allactaga_severtzovi","severtzovi","Allactaga",0,0,0,0,0,NA,0,0,0,0
"142","Allactaga_sibirica","sibirica","Allactaga",1,1,1,1,0,5,1,0.2,0,1
"143","Allactaga_toussi","toussi","Allactaga",0,0,0,0,0,NA,0,0,0,0
"144","Allactaga_vinogradovi","vinogradovi","Allactaga",0,0,0,0,0,NA,0,0,0,0
"145","Allactaga_williamsi","williamsi","Allactaga",1,5,1,1,0,11,1,0.091,0,0
"146","Allactodipus_bobrinskii","bobrinskii","Allactodipus",0,0,0,0,0,NA,0,0,0,0
"147","Allenopithecus_nigroviridis","nigroviridis","Allenopithecus",2,67,2,2,0,14,2,0.143,2,0
"148","Allocebus_trichotis","trichotis","Allocebus",7,112,3,7,0,30,6,0.2,5,2
"149","Allochrocebus_lhoesti","lhoesti","Allochrocebus",4,41,4,3,1,15,3,0.2,2,1
