"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1"
"1","Abditomys_latidens","latidens","Abditomys",0,0,0,0,0,NA,0,0,0,0,0
"2","Abrawayaomys_chebezi","chebezi","Abrawayaomys",0,0,0,0,0,NA,0,0,0,0,0
"3","Abrawayaomys_ruschii","ruschii","Abrawayaomys",1,12,1,1,0,10,1,0.1,1,0,0.301029995663981
"4","Abrocoma_boliviensis","boliviensis","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0
"5","Abrocoma_budini","budini","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0
"6","Abrocoma_cinerea","cinerea","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0
"7","Abrocoma_famatina","famatina","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0
"8","Abrocoma_shistacea","shistacea","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0
"9","Abrocoma_uspallata","uspallata","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0
"10","Abrocoma_vaccarum","vaccarum","Abrocoma",0,0,0,0,0,NA,0,0,0,0,0
"11","Abrothrix_hershkovitzi","hershkovitzi","Abrothrix",0,0,0,0,0,NA,0,0,0,0,0
"12","Abrothrix_illuteus","illuteus","Abrothrix",0,0,0,0,0,NA,0,0,0,0,0
"13","Abrothrix_lanosus","lanosus","Abrothrix",0,0,0,0,0,NA,0,0,0,0,0
"14","Abrothrix_manni","manni","Abrothrix",0,0,0,0,0,NA,0,0,0,0,0
"15","Abrothrix_markhami","markhami","Abrothrix",0,0,0,0,0,NA,0,0,0,0,0
"16","Abrothrix_sanborni","sanborni","Abrothrix",1,17,1,1,0,6,1,0.167,1,0,0.301029995663981
"17","Acerodon_celebensis","celebensis","Acerodon",2,5,2,1,0,2,1,0.5,0,1,0.301029995663981
"18","Acerodon_humilis","humilis","Acerodon",1,28,1,1,0,19,1,0.053,1,0,0.301029995663981
"19","Acerodon_jubatus","jubatus","Acerodon",2,50,2,2,0,16,2,0.125,2,0,0.477121254719662
"20","Acerodon_leucotis","leucotis","Acerodon",0,0,0,0,0,NA,0,0,0,0,0
"21","Acerodon_mackloti","mackloti","Acerodon",0,0,0,0,0,NA,0,0,0,0,0
"22","Acinonyx_jubatus","jubatus","Acinonyx",219,5769,102,179,13,42,41,0.976,117,13,1.6232492903979
"23","Acinonyx_pardinensis","pardinensis","Acinonyx",0,0,0,0,0,NA,0,0,0,0,0
"24","Acomys_airensis","airensis","Acomys",0,0,0,0,0,NA,0,0,0,0,0
"25","Acomys_cahirinus","cahirinus","Acomys",6,118,6,6,0,35,5,0.143,4,0,0.778151250383644
