"","genus_species","species","genus","publications","citations","journals","years_publishing","h","m","i10","h5","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y","clade","logh","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin"
"1","Abditomys latidens","latidens","Abditomys",0,0,0,NA,0,0,0,0,"Muridae","Rodentia",3610454,269,1,"Yes",16.85,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,121,17,"Euarchontoglires",-Inf,0,2.42975228000241,NA,0,3
"2","Abeomelomys sevia","sevia","Abeomelomys",3,32,3,26,3,0.115,1,0,"Muridae","Rodentia",456612,54.88,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.477121254719662,0.602059991327962,1.7394141026987,1,0,3
"3","Abrawayaomys chebezi","chebezi","Abrawayaomys",2,11,2,6,2,0.333,0,1,"Cricetidae","Rodentia",5852622,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,NA,NA,0,3
"4","Abrawayaomys ruschii","ruschii","Abrawayaomys",8,65,6,13,6,0.462,2,3,"Cricetidae","Rodentia",3611096,63,1,"Yes",-24.482282,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-54.9999999999996,-25.0040698859438,"Euarchontoglires",0.778151250383644,0.845098040014257,1.79934054945358,1,0,3
"5","Abrocoma bennettii","bennettii","Abrocoma",10,237,8,29,6,0.207,5,2,"Abrocomidae","Rodentia",234035,250.5,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.778151250383644,0.845098040014257,2.39880773020326,1,0,3
"6","Abrocoma boliviensis","boliviensis","Abrocoma",3,27,3,19,2,0.105,1,0,"Abrocomidae","Rodentia",3609753,158,1,"Yes",-17.9,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-65,-17,"Euarchontoglires",0.301029995663981,0.477121254719662,2.19865708695442,4,0,3
"7","Abrocoma budini","budini","Abrocoma",0,0,0,NA,0,0,0,0,"Abrocomidae","Rodentia",3609757,214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,2.33181181599674,NA,0,3
"8","Abrocoma cinerea","cinerea","Abrocoma",10,178,9,22,8,0.364,5,0,"Abrocomidae","Rodentia",906641,250,1,"Yes",-22.11667,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-69.2802774508361,-18.4910936027511,"Euarchontoglires",0.903089986991944,0.954242509439325,2.39794000867204,1,1,3
"9","Abrocoma famatina","famatina","Abrocoma",0,0,0,NA,0,0,0,0,"Abrocomidae","Rodentia",3609754,214.69,0,"Yes",-28.731926,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-67,-29,"Euarchontoglires",-Inf,0,2.33181181599674,NA,0,3
"10","Abrocoma shistacea","shistacea","Abrocoma",0,0,0,NA,0,0,0,0,"Abrocomidae","Rodentia",3609758,214.69,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,2.33181181599674,1,0,3
"11","Abrocoma uspallata","uspallata","Abrocoma",1,7,1,16,1,0.062,0,0,"Abrocomidae","Rodentia",3609756,214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,2.33181181599674,NA,0,3
"12","Abrocoma vaccarum","vaccarum","Abrocoma",1,14,1,25,1,0.04,1,0,"Abrocomidae","Rodentia",3609752,214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,2.33181181599674,NA,0,3
