"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication","clade"
"1","Abditomys latidens","latidens","Abditomys",0,0,0,0,0,NA,0,0,0,0,3610454,"Muridae","Rodentia",269,1,"Yes",16.85,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.42975228000241,121,17,NA,"Wild","Euarchontoglires"
"2","Abrawayaomys chebezi","chebezi","Abrawayaomys",2,11,2,2,0,6,2,0.333,0,1,5852622,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,NA,NA,NA,"Wild","Euarchontoglires"
"3","Abrawayaomys ruschii","ruschii","Abrawayaomys",8,62,6,8,0,13,6,0.462,2,3,3611096,"Cricetidae","Rodentia",63,1,"Yes",-24.482282,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,1.79934054945358,-54.9999999999996,-25.0040698859438,NA,"Wild","Euarchontoglires"
"4","Abrocoma boliviensis","boliviensis","Abrocoma",3,26,3,3,0,19,2,0.105,1,0,3609753,"Abrocomidae","Rodentia",158,1,"Yes",-17.9,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.19865708695442,-65,-17,NA,"Wild","Euarchontoglires"
"5","Abrocoma budini","budini","Abrocoma",0,0,0,0,0,NA,0,0,0,0,3609757,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.33181181599674,NA,NA,NA,"Wild","Euarchontoglires"
"6","Abrocoma cinerea","cinerea","Abrocoma",10,175,9,10,0,22,8,0.364,5,0,906641,"Abrocomidae","Rodentia",250,1,"Yes",-22.11667,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,2.39794000867204,-69.2802774508361,-18.4910936027511,NA,"Wild","Euarchontoglires"
"7","Abrocoma famatina","famatina","Abrocoma",0,0,0,0,0,NA,0,0,0,0,3609754,"Abrocomidae","Rodentia",214.69,0,"Yes",-28.731926,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.33181181599674,-67,-29,NA,"Wild","Euarchontoglires"
"8","Abrocoma shistacea","shistacea","Abrocoma",0,0,0,0,0,NA,0,0,0,0,3609758,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.33181181599674,NA,NA,NA,"Wild","Euarchontoglires"
"9","Abrocoma uspallata","uspallata","Abrocoma",1,7,1,1,0,16,1,0.062,0,0,3609756,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.33181181599674,NA,NA,NA,"Wild","Euarchontoglires"
"10","Abrocoma vaccarum","vaccarum","Abrocoma",1,14,1,1,0,25,1,0.04,1,0,3609752,"Abrocomidae","Rodentia",214.69,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.33181181599674,NA,NA,NA,"Wild","Euarchontoglires"
